ID,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Overall,Potential
231943,83,78,73,84,53,80,82,87
232488,76,46,52,60,83,84,82,87
233096,80,61,66,72,78,89,82,84
233419,91,76,76,85,49,72,82,87
233731,84,82,68,79,29,69,82,86
241461,82,79,78,82,35,66,82,90
234943,64,72,79,83,66,67,82,87
235410,78,83,58,79,35,76,82,86
235569,71,72,81,88,69,72,82,87
236792,64,72,74,74,82,85,82,85
240130,83,50,69,71,83,82,82,89
230168,79,84,77,78,42,83,82,82
241464,72,38,67,69,84,80,82,89
241671,81,78,74,85,55,80,82,87
244260,67,76,81,86,50,60,82,87
230375,78,43,56,64,85,79,82,82
227796,89,70,73,87,37,59,82,88
229984,76,53,77,78,78,75,82,86
220697,75,78,84,84,54,60,82,85
212190,65,42,59,49,83,81,82,87
212462,83,73,82,78,77,73,82,82
212523,80,83,81,83,52,75,82,83
212616,78,76,80,82,71,79,82,83
216547,94,73,74,86,50,52,82,82
219693,77,47,63,67,81,83,82,84
220018,86,83,75,82,48,80,82,82
120533,80,51,60,60,82,87,82,82
222077,61,72,79,77,79,79,82,87
229906,93,78,74,84,33,64,82,86
222665,77,74,83,84,58,62,82,88
224293,59,75,85,77,74,73,82,87
224458,84,81,73,85,57,77,82,87
225100,81,30,66,69,83,78,82,88
226271,63,78,79,82,74,71,82,86
229391,60,65,70,72,85,88,82,87
229558,81,43,62,68,81,81,82,90
229668,76,49,72,70,83,80,82,85
220440,74,45,67,64,82,78,82,86
190460,62,78,88,81,53,52,82,82
157481,40,41,62,62,86,73,82,82
205070,90,78,77,79,59,79,82,82
199110,89,83,74,86,27,67,82,82
199482,84,78,70,86,64,80,82,83
199823,68,74,83,82,71,72,82,82
201305,69,49,71,65,84,83,82,82
201519,77,75,77,78,77,81,82,83
202651,76,76,82,86,32,55,82,82
203486,80,76,80,85,53,66,82,82
205069,82,65,78,83,76,68,82,82
208128,67,78,84,85,59,57,82,83
197781,66,75,80,89,59,59,82,82
208333,78,78,78,80,84,87,82,83
208421,71,78,78,79,78,79,82,85
208461,66,68,71,72,82,83,82,82
209981,82,79,76,84,35,81,82,82
210035,87,65,81,83,74,71,82,85
210413,68,40,56,67,85,78,82,83
210935,79,80,81,85,36,69,82,82
211256,80,55,73,75,81,81,82,82
198717,89,77,73,88,34,75,82,82
194404,83,79,78,81,54,79,82,82
164835,82,82,71,82,48,83,82,82
188152,78,79,82,82,59,67,82,82
168435,82,77,76,80,46,84,82,82
168651,57,79,85,78,75,69,82,82
173731,82,84,82,80,55,70,82,82
178005,82,80,77,83,55,80,82,82
178562,62,75,84,82,76,71,82,82
180206,65,68,83,81,75,67,82,82
183512,83,68,76,76,79,82,82,82
187072,61,84,81,81,60,73,82,82
188943,82,78,79,84,49,82,82,82
193698,81,80,79,82,49,79,82,82
189242,69,79,80,89,52,59,82,82
190815,45,64,82,79,83,72,82,82
192318,68,75,83,84,55,69,82,82
193105,85,79,76,85,55,80,82,84
193165,83,67,79,85,74,60,82,82
193301,75,82,74,82,44,72,82,82
193474,69,66,72,78,83,77,82,82
193525,81,61,74,79,78,79,82,82
211515,82,81,76,82,47,83,82,87
234378,67,53,71,73,81,80,82,87
200888,64,63,71,73,80,86,81,81
235374,92,62,76,83,70,65,81,81
209297,77,66,77,81,75,71,81,81
208618,82,73,79,80,69,69,81,81
208596,76,81,59,78,38,83,81,82
208448,70,73,82,83,35,62,81,81
251854,78,65,79,84,66,63,81,91
251573,84,67,76,81,77,75,81,86
247394,84,74,77,84,56,76,81,89
247263,75,52,65,68,82,79,81,88
245279,86,58,75,78,78,70,81,84
241852,94,67,73,86,41,53,81,88
240950,76,81,79,84,56,65,81,88
239231,79,67,78,80,73,74,81,87
238074,80,58,77,78,76,80,81,86
208330,79,75,80,83,30,58,81,81
210385,82,76,75,84,30,83,81,84
207439,66,71,83,79,76,79,81,83
206511,65,81,79,78,76,74,81,82
205678,87,78,78,81,47,64,81,81
205659,82,80,73,84,39,80,81,83
205569,59,74,86,78,67,73,81,84
205175,64,84,67,76,39,71,81,82
204638,49,36,52,54,84,80,81,82
204525,71,56,66,63,81,79,81,81
204311,65,51,63,56,81,85,81,84
204120,83,77,74,84,39,80,81,81
203551,76,77,79,80,76,62,81,81
202695,57,45,67,64,82,81,81,82
201095,82,77,76,83,53,80,81,81
210008,76,74,76,79,76,79,81,82
210406,81,75,81,85,70,61,81,82
230225,71,61,57,62,82,80,81,81
221992,93,76,72,83,41,62,81,82
230258,77,57,74,76,82,68,81,81
230294,78,84,62,72,33,71,81,81
230347,79,54,76,78,75,74,81,81
228251,78,74,81,80,72,77,81,86
227950,68,49,62,63,82,77,81,83
227127,84,74,80,82,43,84,81,84
226226,75,76,82,83,69,73,81,85
226166,80,49,69,73,82,80,81,85
226110,88,79,75,83,36,65,81,82
225375,81,68,77,78,80,77,81,85
224411,86,79,76,82,36,68,81,86
224081,67,65,76,75,78,82,81,85
223952,81,80,72,82,41,80,81,82
221479,83,77,64,77,39,82,81,85
210411,78,69,79,85,63,68,81,82
221363,68,78,76,79,72,77,81,86
220407,79,78,80,82,46,79,81,81
220093,84,64,72,77,77,79,81,81
217940,69,37,62,61,83,79,81,82
216475,86,82,75,85,52,68,81,81
216409,83,77,78,84,42,55,81,81
216201,94,78,72,78,37,81,81,82
215330,84,75,77,85,39,69,81,82
214979,82,78,73,86,44,82,81,83
212194,73,75,80,84,48,66,81,85
211990,84,78,67,84,43,78,81,83
211300,87,80,73,86,35,68,81,84
210463,88,80,75,83,38,70,81,81
200949,90,79,70,86,43,68,81,81
230256,93,66,75,76,72,77,81,81
200724,78,37,66,69,81,80,81,81
234906,75,73,79,85,65,69,81,86
163705,80,80,78,81,48,81,81,81
167664,58,84,71,78,29,71,81,81
171791,32,46,62,62,83,77,81,81
172871,76,62,72,66,83,78,81,81
176266,56,65,73,75,82,69,81,81
178086,78,81,78,80,55,83,81,81
181458,81,79,76,79,64,74,81,81
181872,65,79,79,79,82,82,81,81
183574,64,81,81,82,40,66,81,81
184200,79,81,79,78,44,82,81,81
187754,79,76,78,86,47,68,81,81
190674,67,64,74,75,80,85,81,81
192366,63,57,62,58,83,81,81,81
234742,86,77,76,81,45,63,81,84
200454,77,84,69,80,35,61,81,81
234153,78,77,82,80,71,72,81,88
233927,75,77,80,84,70,78,81,85
232411,79,74,81,85,69,65,81,86
231969,74,80,83,81,64,79,81,81
230430,76,81,67,77,20,78,81,81
193283,75,71,74,74,83,82,81,81
193314,82,78,67,83,55,81,81,81
193983,84,82,73,75,37,85,81,81
195365,70,67,81,85,63,62,81,81
195859,79,84,70,79,45,70,81,81
197965,75,77,81,82,64,66,81,81
198164,82,75,79,83,63,69,81,81
198710,53,86,86,86,50,60,81,81
163489,81,82,72,83,40,80,81,81
156519,70,75,76,76,78,84,81,81
153244,68,82,73,76,41,84,81,81
124375,79,83,69,72,34,79,81,81
45186,68,80,84,81,44,55,81,81
200260,80,81,82,82,36,66,81,81
199987,81,80,78,79,53,81,81,81
199564,76,63,80,77,76,73,81,81
199304,73,67,73,74,82,79,81,81
139068,70,77,81,85,37,68,81,81
213661,65,31,65,68,83,72,80,85
209519,77,78,76,78,40,82,80,81
209960,79,77,70,82,45,81,80,82
210455,75,53,71,76,79,69,80,81
211117,68,78,78,82,65,75,80,82
212151,82,77,74,84,44,77,80,83
212187,82,67,79,75,73,75,80,81
212814,69,69,80,83,66,68,80,80
215223,80,79,72,83,48,80,80,82
214584,78,76,67,85,43,79,80,80
215316,80,79,78,80,54,79,80,80
217870,84,66,73,76,76,79,80,80
219683,66,77,77,78,76,78,80,81
219953,83,77,78,79,55,72,80,80
220182,83,43,67,70,81,81,80,83
220971,70,73,75,86,65,66,80,83
221087,80,79,72,82,49,80,80,80
221660,63,51,73,71,81,78,80,82
222331,85,51,64,71,82,77,80,84
222716,86,75,73,86,32,62,80,83
223724,78,63,70,75,74,80,80,80
198141,73,61,72,73,80,74,80,80
201143,66,46,74,69,81,74,80,81
208808,88,78,78,81,46,69,80,80
171877,68,77,81,80,70,72,80,80
231447,90,79,72,83,30,74,80,85
1179,76,73,70,76,33,90,80,80
140233,79,75,71,83,49,81,80,80
148119,77,72,78,84,50,82,80,80
162347,50,72,84,79,70,66,80,80
169588,52,32,61,58,83,77,80,80
171579,41,82,81,78,65,83,80,80
172522,74,78,80,77,76,76,80,80
183855,56,40,60,61,82,76,80,80
173426,80,75,76,82,51,84,80,80
176676,73,72,80,88,75,71,80,80
177388,69,77,83,82,38,67,80,80
177509,63,45,52,62,81,82,80,80
177604,65,61,74,74,80,68,80,80
178518,71,84,78,74,73,80,80,80
182493,57,48,63,60,80,78,80,80
232119,76,46,60,67,80,80,80,83
232293,88,80,63,75,39,81,80,87
233195,69,70,73,77,73,81,80,84
233306,80,79,78,83,49,76,80,87
246669,84,68,76,82,65,64,80,88
244470,77,56,73,75,78,81,80,80
244369,85,73,78,80,45,57,80,86
243576,80,67,73,79,75,75,80,87
241095,83,77,78,83,48,71,80,86
241084,92,77,70,82,32,71,80,86
240900,72,22,49,48,81,76,80,84
240709,84,73,73,81,70,78,80,85
239207,66,81,68,73,32,82,80,85
238794,95,70,71,87,29,66,80,90
237383,65,33,65,68,82,80,80,89
237238,66,75,75,75,78,84,80,84
236987,74,50,72,72,79,78,80,86
236583,82,75,60,85,36,71,80,82
236401,82,61,74,81,75,71,80,85
182494,78,80,72,79,61,82,80,80
184941,78,76,78,84,43,68,80,80
207877,87,80,61,79,25,67,80,80
204399,77,82,74,79,39,73,80,80
201922,70,70,67,60,81,81,80,80
202024,69,71,77,77,75,73,80,80
202166,74,76,80,82,58,66,80,80
202325,57,42,75,77,76,76,80,80
203890,79,55,73,74,78,77,80,80
203895,65,75,80,82,52,65,80,80
203980,75,77,79,82,43,69,80,80
204970,79,79,79,81,41,68,80,80
185020,77,76,76,81,48,59,80,80
205600,65,62,68,67,80,78,80,80
205686,67,74,83,82,69,69,80,80
205693,66,79,62,74,51,81,80,81
205705,61,50,63,60,82,77,80,80
205849,76,79,82,83,45,81,80,81
207599,55,49,65,65,82,80,80,81
207732,77,82,63,77,41,74,80,80
201400,71,74,80,84,69,68,80,80
223959,74,67,74,79,79,75,80,84
201119,82,64,74,81,75,75,80,80
199254,72,78,77,81,41,74,80,80
186561,66,70,81,83,66,66,80,80
187598,66,47,58,62,82,80,80,80
189117,81,79,60,86,47,77,80,80
189271,68,67,76,80,78,79,80,80
189690,81,79,77,82,52,77,80,80
190972,85,76,73,84,57,68,80,80
193061,76,74,79,82,68,73,80,80
196432,68,66,77,77,77,78,80,80
197225,74,73,83,81,49,73,80,80
197242,68,76,72,71,75,81,80,80
198009,80,80,71,82,56,79,80,82
198031,58,79,82,77,72,70,80,80
198950,72,76,81,82,57,59,80,80
198951,90,80,71,76,36,77,80,80
199042,65,71,80,77,76,72,80,80
223816,88,80,67,82,38,76,80,80
216189,82,64,76,77,74,88,80,80
224179,65,80,64,74,35,80,80,80
230201,76,51,70,78,77,70,80,80
227290,77,79,78,81,37,80,80,81
227813,73,65,80,80,77,69,80,85
227928,82,57,68,81,75,75,80,81
229237,81,48,67,74,81,77,80,83
229261,83,64,72,75,80,84,80,86
229582,62,45,50,58,80,84,80,84
229857,67,60,83,83,67,59,80,83
229927,74,64,79,80,78,77,80,84
224309,63,75,81,77,67,76,80,81
230271,80,72,77,83,26,45,80,80
230313,67,39,55,56,81,85,80,80
230767,84,74,77,84,72,84,80,86
226754,73,67,80,84,73,73,80,84
226491,84,60,75,77,75,79,80,86
225953,85,78,75,83,39,69,80,84
225201,83,76,76,82,63,65,80,81
225085,89,74,73,81,39,69,80,83
230204,81,75,78,79,41,81,80,80
230498,83,79,65,81,28,64,79,79
192123,64,79,60,70,40,81,79,79
191202,36,67,75,72,80,73,79,79
191740,65,72,77,79,78,75,79,79
192064,83,78,77,79,41,72,79,79
192906,68,82,76,83,43,70,79,79
192598,84,80,73,79,48,79,79,79
192638,58,74,78,77,75,77,79,79
192789,74,69,71,72,78,76,79,79
190745,82,77,63,82,60,80,79,79
190813,87,75,74,80,46,63,79,79
189615,69,60,75,76,77,68,79,79
190717,83,76,73,78,55,83,79,79
190584,47,71,77,78,77,69,79,79
189805,50,78,71,69,46,75,79,79
189682,62,42,58,62,81,78,79,79
193348,75,76,80,81,46,67,79,79
189560,33,70,75,69,77,79,79,79
188042,79,77,77,83,44,75,79,79
188041,70,66,76,75,74,75,79,79
187052,65,64,74,74,75,78,79,79
186682,45,64,75,72,75,70,79,79
193198,60,70,79,69,75,83,79,79
198230,49,40,59,55,81,79,79,79
194209,71,83,69,79,37,70,79,79
202048,47,58,75,66,79,75,79,81
204024,44,50,70,72,78,75,79,79
203483,71,80,73,76,72,78,79,79
203299,87,75,73,82,38,70,79,79
202935,64,33,59,57,80,82,79,79
202857,85,76,71,82,34,72,79,79
202750,62,36,64,64,79,83,79,79
202648,66,75,78,79,71,71,79,80
202477,88,73,73,83,30,64,79,79
202335,53,64,69,64,79,83,79,80
201455,68,74,75,76,78,89,79,79
194333,80,74,64,82,28,77,79,79
200726,79,77,77,80,42,79,79,80
200315,89,75,74,80,48,62,79,79
199503,50,64,79,69,69,80,79,79
199354,79,82,75,77,32,69,79,79
198946,70,56,67,71,80,79,79,79
198784,81,74,77,83,67,74,79,79
198329,86,78,75,79,45,71,79,79
178509,42,80,70,71,42,77,79,79
196978,80,78,66,78,41,77,79,79
184484,54,78,82,77,59,66,79,79
170890,73,65,72,76,77,79,79,79
176919,78,77,71,79,52,81,79,79
226300,80,75,73,81,55,78,79,83
223597,78,53,71,76,73,77,79,79
224031,85,66,67,74,75,79,79,79
224196,73,59,72,75,77,80,79,82
224490,79,58,71,72,75,79,79,82
225116,80,74,70,82,45,78,79,86
225508,73,42,58,67,79,77,79,80
225663,81,72,79,84,67,69,79,83
226162,73,73,80,82,64,67,79,84
226221,66,33,61,59,79,77,79,81
226456,68,74,79,80,69,68,79,82
223249,79,73,73,83,41,80,79,79
226851,69,53,72,71,78,76,79,82
228093,82,78,70,80,48,77,79,85
228520,81,81,65,78,44,83,79,80
228687,73,81,69,77,30,68,79,83
230184,89,58,70,77,74,59,79,79
230216,83,52,70,71,76,71,79,79
230234,67,62,74,76,78,76,79,79
230251,71,70,70,72,80,83,79,79
230312,81,75,71,82,60,77,79,79
223578,68,80,61,76,31,76,79,79
222501,78,57,71,76,75,70,79,82
176635,62,68,85,79,24,48,79,79
216150,76,66,73,74,75,71,79,79
176550,82,72,77,84,34,77,79,79
173221,72,78,79,80,61,62,79,79
162240,70,68,76,85,73,77,79,79
159145,60,81,68,72,36,74,79,79
158121,78,77,77,80,49,78,79,79
156616,69,73,81,85,30,53,79,79
213516,78,78,75,81,42,69,79,80
204234,77,76,76,82,44,77,79,80
216145,70,33,48,65,82,78,79,80
216388,91,69,70,88,25,61,79,84
222028,59,60,75,77,80,75,79,82
216531,67,78,64,74,44,81,79,79
218339,70,69,76,84,67,70,79,82
219789,85,54,72,76,73,77,79,79
219809,64,48,68,74,77,84,79,81
220253,79,78,75,82,35,66,79,80
220523,45,54,60,60,80,81,79,81
220673,69,69,72,74,79,82,79,83
220793,75,45,55,65,80,80,79,81
221491,74,39,63,68,80,77,79,83
214047,75,74,75,76,75,81,79,79
204538,84,80,66,78,32,67,79,79
204259,77,53,70,76,77,74,79,79
210513,73,76,81,83,39,51,79,79
251809,60,36,59,60,80,84,79,85
252371,75,69,73,80,75,77,79,89
255475,91,72,72,84,37,65,79,88
212442,80,77,62,83,45,76,79,81
212404,79,71,80,83,61,65,79,79
212382,71,77,62,70,45,84,79,80
212096,70,74,79,81,41,62,79,79
211748,58,76,79,82,65,70,79,79
211241,80,70,72,78,75,68,79,79
211022,80,76,79,80,45,58,79,79
210897,72,53,56,65,80,78,79,82
210625,88,51,69,73,74,80,79,82
210324,75,72,80,78,57,66,79,79
247204,84,62,71,75,74,77,79,84
210315,76,82,69,80,36,68,79,82
209846,83,55,70,70,74,81,79,79
208165,68,39,59,48,82,79,79,79
208135,70,76,72,76,77,81,79,79
208104,82,75,73,83,46,77,79,81
207566,40,60,76,69,75,84,79,79
207494,76,79,75,81,58,68,79,79
206585,78,77,85,81,33,76,79,83
206545,56,71,78,78,70,67,79,79
206467,71,82,77,79,39,74,79,79
205923,69,58,75,75,78,73,79,79
138412,56,70,81,77,77,75,79,79
247851,67,63,78,78,74,75,79,84
41,51,69,84,83,59,57,79,79
244067,88,33,56,64,80,77,79,86
236480,70,68,75,79,77,75,79,84
243812,87,76,71,83,32,56,79,88
232432,75,80,68,78,29,74,79,84
232580,68,36,60,57,80,80,79,84
232665,47,60,72,73,77,76,79,84
232730,75,68,79,83,41,59,79,82
232756,82,37,57,64,80,79,79,85
233738,68,67,75,73,79,81,79,84
234035,82,55,71,76,74,65,79,82
234236,70,79,70,80,35,68,79,82
234612,89,70,74,83,35,60,79,83
235073,80,78,77,83,26,74,79,84
235688,81,39,57,59,80,79,79,84
206413,65,63,71,68,79,79,79,79
236506,61,39,63,70,81,78,79,85
239433,56,68,75,71,77,78,79,84
236572,84,53,74,78,74,74,79,84
241788,76,79,70,80,38,71,79,79
241637,72,69,76,77,77,81,79,85
240679,65,72,79,72,76,77,79,84
240243,85,78,74,84,31,69,79,86
242516,85,78,74,79,41,72,79,85
239301,71,58,73,75,79,80,79,85
237239,75,81,78,82,63,56,79,80
236632,85,72,73,85,37,64,79,83
237942,82,34,68,72,75,75,79,85
236610,85,77,56,78,40,75,79,87
199576,41,44,62,64,80,81,78,78
24630,77,78,79,77,46,79,78,78
178007,46,70,83,76,66,71,78,78
178088,55,71,81,81,36,42,78,78
203605,74,43,73,73,72,79,78,78
199189,69,73,77,78,57,72,78,79
199206,73,40,58,58,80,81,78,78
198658,76,63,77,76,71,79,78,78
198657,79,60,72,74,73,82,78,78
197837,70,29,52,57,79,83,78,78
146439,59,81,64,72,36,77,78,78
195096,59,75,75,75,73,80,78,78
199915,46,51,62,63,79,78,78,79
152908,72,66,74,77,73,68,78,78
156433,80,80,70,77,58,75,78,78
159261,61,83,74,79,30,63,78,78
163155,78,77,73,78,45,78,78,78
199715,76,76,76,77,41,72,78,78
200155,47,78,79,75,59,73,78,78
200159,73,72,86,85,52,74,78,80
201042,74,62,74,75,74,79,78,78
201417,68,64,73,75,75,76,78,78
201995,85,74,76,82,55,59,78,78
202493,82,67,74,78,72,72,78,78
194222,50,46,55,50,80,78,78,78
195093,65,79,66,74,40,80,78,78
189053,82,79,62,78,30,67,78,78
193469,50,42,65,59,79,78,78,78
187936,40,56,70,66,77,85,78,78
178213,48,72,75,71,77,76,78,78
178224,68,76,63,75,31,66,78,78
178415,58,75,79,70,75,79,78,78
180216,66,65,73,76,78,70,78,78
183394,74,61,73,75,75,87,78,78
184392,70,58,69,74,78,68,78,78
185103,63,74,79,74,79,74,78,78
186197,73,72,76,84,42,66,78,78
199652,67,72,78,79,63,66,78,78
186801,64,64,62,69,78,85,78,78
187607,65,78,69,71,29,86,78,78
188335,65,78,48,74,35,77,78,78
193408,72,78,67,71,48,84,78,78
189125,69,75,80,80,70,65,78,78
189280,58,62,80,73,74,75,78,78
189505,74,73,77,84,40,52,78,78
189606,55,49,70,69,77,79,78,78
189881,64,47,58,59,79,79,78,78
190243,81,74,79,79,44,77,78,78
191180,64,73,80,79,52,50,78,78
192678,61,81,64,74,44,74,78,78
192679,69,63,74,71,78,71,78,78
193171,73,61,71,73,77,68,78,78
193361,69,75,78,80,67,71,78,78
202849,32,48,62,48,79,82,78,79
243559,83,70,74,81,37,59,78,84
203747,83,51,69,77,73,65,78,81
203843,73,69,73,74,76,77,78,78
242187,80,72,73,80,44,56,78,84
241727,77,76,74,81,23,79,78,83
240753,79,79,76,79,44,70,78,85
240699,84,75,77,81,69,67,78,84
239817,70,56,74,77,72,80,78,85
239613,70,70,74,78,67,72,78,84
239380,82,74,72,82,51,67,78,85
238616,87,74,69,82,31,59,78,85
238476,59,34,61,50,80,80,78,84
238463,70,72,76,80,68,70,78,83
238067,83,74,71,80,61,82,78,87
