ID,Age,Height,Weight,Nationality,Positions,Club
190941,31,192,83,Finland,GK,Bayer 04 Leverkusen
191043,30,180,80,Brazil,"LB,LM",Juventus
192563,29,190,83,Germany,GK,Arsenal
204935,27,185,77,England,GK,Everton
241486,22,181,75,France,CB,Sevilla FC
205632,26,188,84,Argentina,"LW,RW",Sevilla FC
225850,25,189,80,France,CB,Paris Saint-Germain
197061,29,194,90,Cameroon,CB,Liverpool
207410,27,176,80,Croatia,"CM,CDM",Chelsea
242444,21,181,72,Portugal,"CF,ST",Atl茅tico de Madrid
239053,22,182,78,Uruguay,CM,Real Madrid CF
235805,23,175,70,Italy,"RW,LW,RM",Juventus
234642,29,197,86,Senegal,GK,Chelsea
233064,22,178,70,England,"CAM,CM,RW",Chelsea
231443,24,178,67,France,RW,FC Barcelona
230666,24,175,73,Brazil,ST,Manchester City
230658,24,171,73,Brazil,CM,Juventus
230481,29,177,75,Brazil,"CAM,RM",Gr锚mio
229880,23,183,72,England,RB,Manchester United
228618,26,180,73,France,LB,Real Madrid CF
193082,33,179,72,Colombia,"RB,RM",Juventus
225193,25,189,83,Spain,CM,Real Sociedad
215333,30,189,88,Colombia,ST,Atalanta
223697,26,183,76,Germany,"LWB,LB,LM",Atalanta
213565,25,171,66,France,"LM,CM,RM",Atl茅tico de Madrid
213648,25,185,84,Denmark,"CDM,CM",Tottenham Hotspur
214997,26,171,70,Argentina,"ST,RM",Atl茅tico de Madrid
209989,28,185,77,Ghana,"CM,CDM",Arsenal
216354,30,177,73,Croatia,"ST,CAM",TSG Hoffenheim
220651,24,175,69,Spain,"LWB,LM",RB Leipzig
220814,25,184,79,France,"LB,CB",FC Bayern M眉nchen
220834,25,182,76,Spain,"RW,LW",Real Madrid CF
223689,28,197,84,Netherlands,ST,VfL Wolfsburg
211688,26,172,66,Spain,"LB,LWB,LM",Valencia CF
234396,20,183,75,Canada,"LB,LM",FC Bayern M眉nchen
230869,24,190,89,Spain,GK,Athletic Club de Bilbao
231943,24,181,71,Brazil,"ST,LW,LM",Everton
232488,23,185,79,Argentina,CB,Tottenham Hotspur
233096,25,188,80,Netherlands,RB,Inter
233419,24,176,68,Brazil,"RM,RW",Leeds United
233731,21,192,77,Sweden,ST,Real Sociedad
241461,21,184,77,Spain,"RW,ST",Manchester City
234943,24,185,74,Germany,CM,Borussia M枚nchengladbach
235410,24,188,78,Morocco,"ST,LW",Sevilla FC
235569,24,179,76,France,"CAM,CM,CDM",Tottenham Hotspur
236792,26,192,86,Czech Republic,"CDM,CM",West Ham United
240130,23,186,78,Brazil,CB,Real Madrid CF
230168,33,190,85,Brazil,GK,RB Bragantino
241464,24,191,80,Spain,CB,Villarreal CF
241671,26,187,79,Croatia,GK,Dinamo Zagreb
244260,23,179,72,Spain,"CAM,CF",RB Leipzig
230375,29,185,80,Brazil,CB,Gr锚mio
227796,22,177,69,United States,"LW,RW,LM",Chelsea
229984,24,178,77,England,"LWB,LB",Chelsea
220697,24,175,73,England,"CAM,CM",Leicester City
212190,25,195,99,Germany,"CB,RB",FC Bayern M眉nchen
212462,28,181,71,Brazil,LB,Manchester United
212523,27,190,80,Brazil,"CF,ST,CAM",Al Nassr
212616,27,180,70,Argentina,"CM,CF",Atl茅tico de Madrid
216547,28,170,63,Portugal,"RM,CF,LM",SL Benfica
219693,28,185,86,Brazil,CB,Sevilla FC
220018,27,185,78,Croatia,"LM,ST",AC Milan
120533,38,188,80,Portugal,CB,FC Porto
222077,23,185,75,Italy,"CDM,CM",Juventus
229906,23,178,77,Jamaica,"RM,RW,LW",Aston Villa
222665,22,178,68,Norway,"CAM,CM",Arsenal
224293,24,180,80,Portugal,CM,Wolverhampton Wanderers
224458,24,178,73,Portugal,"LW,ST",Liverpool
225100,24,188,77,England,CB,Liverpool
226271,25,189,70,Spain,CM,Napoli
229391,25,190,82,Portugal,"CDM,CM",Sporting CP
229558,22,186,90,France,CB,FC Bayern M眉nchen
229668,26,185,76,Spain,"CB,LB",Atl茅tico de Madrid
220440,26,186,81,France,CB,FC Barcelona
190460,29,181,76,Denmark,"CM,CAM",Inter
157481,35,190,82,Spain,CB,Villarreal CF
205070,29,167,66,Spain,"RW,RM,LW",Real Sociedad
199110,30,179,79,Colombia,ST,Atalanta
199482,30,184,81,Portugal,GK,Olympique Lyonnais
199823,28,179,70,Spain,"CM,LM,RM",Levante Uni贸n Deportiva
201305,30,185,72,Brazil,CB,Valencia CF
201519,28,177,67,France,"CDM,CM",Roma
202651,27,176,70,Spain,RW,Sevilla FC
203486,28,175,71,Belgium,"LM,CF",Borussia Dortmund
205069,28,170,67,Spain,LB,Paris Saint-Germain
208128,27,178,76,Turkey,"CAM,LM",Inter
197781,29,176,79,Spain,"CAM,CM,LW",Real Madrid CF
208333,27,186,86,Germany,"CM,CB,CDM",Borussia Dortmund
208421,26,184,75,Spain,"CM,LM",Chelsea
208461,30,185,76,Netherlands,"CDM,CM",Atalanta
209981,30,192,78,Morocco,GK,Sevilla FC
210035,25,171,69,Spain,"LB,LM,LWB",SL Benfica
210413,26,185,75,Italy,CB,AC Milan
210935,26,183,72,Italy,"RW,RM",U.S. Sassuolo Calcio
211256,28,172,65,Argentina,LB,Ajax
198717,28,180,66,C么te d'Ivoire,"CF,LM,ST",Crystal Palace
194404,31,190,84,Brazil,GK,FC Barcelona
164835,36,190,83,Poland,GK,West Ham United
188152,29,179,70,Brazil,"CAM,CM,LW",Shanghai Port FC
168435,34,192,85,Italy,GK,Genoa
168651,33,184,78,Croatia,CM,Sevilla FC
173731,31,185,82,Wales,"RM,RW",Real Madrid CF
178005,33,190,84,Portugal,GK,Roma
178562,33,174,75,Argentina,"CDM,CM",Al Shabab
180206,31,178,72,Bosnia and Herzegovina,"CM,CDM",Be艧ikta艧 JK
183512,31,181,80,Spain,LB,Athletic Club de Bilbao
187072,32,181,80,Germany,"CAM,ST",Borussia M枚nchengladbach
188943,30,189,88,Germany,GK,Eintracht Frankfurt
193698,31,187,82,Germany,GK,TSG Hoffenheim
189242,29,172,68,Brazil,"CAM,LW,CM",FC Barcelona
190815,31,180,72,Netherlands,"CB,CDM,LB",Ajax
192318,29,177,71,Germany,"CAM,CM",PSV
193105,28,195,94,France,GK,West Ham United
193165,28,173,66,Mexico,"RM,RB,RW",FC Porto
193301,30,175,73,France,ST,Arsenal
193474,31,174,66,Senegal,"CDM,CM",Paris Saint-Germain
193525,30,187,80,Russia,RB,PFC CSKA Moscow
211515,26,194,94,Italy,GK,Tottenham Hotspur
234378,22,185,80,England,"CDM,CM",West Ham United
200888,29,188,83,Portugal,"CDM,CM",Paris Saint-Germain
235374,27,174,67,Italy,RWB,Lazio
209297,28,169,62,Brazil,"CDM,CM",Manchester United
208618,30,173,70,Spain,"RW,RB,RM",Real Madrid CF
208596,27,181,84,Italy,ST,Torino F.C.
208448,29,177,76,Sweden,"CAM,CF",RB Leipzig
251854,18,174,61,Spain,CM,FC Barcelona
251573,23,173,70,Brazil,LB,Atl茅tico de Madrid
247394,21,186,75,Sweden,"RW,CF",Juventus
247263,22,194,85,Burkina Faso,CB,Bayer 04 Leverkusen
245279,24,178,68,Spain,LB,Tottenham Hotspur
241852,21,170,68,France,"LW,RM,LM",Bayer 04 Leverkusen
240950,23,173,65,Portugal,"RW,CM",Sporting CP
239231,22,172,66,Spain,"LM,LB",Brighton & Hove Albion
238074,21,178,87,England,"RWB,RB",Chelsea
208330,26,186,76,Belgium,"RW,RM",Real Sociedad
210385,27,191,91,Portugal,GK,Real Betis Balompi茅
207439,27,180,75,Argentina,"CDM,CM",Paris Saint-Germain
206511,27,184,74,Germany,"CDM,CM",VfL Wolfsburg
205678,31,172,63,Bosnia and Herzegovina,"RM,RW",陌stanbul Ba艧ak艧ehir FK
205659,27,184,78,Italy,GK,Cagliari
205569,26,173,66,England,CM,Southampton
205175,27,186,78,Poland,ST,Olympique de Marseille
204638,28,186,87,Hungary,CB,RB Leipzig
204525,30,182,77,Spain,CB,Athletic Club de Bilbao
204311,26,190,95,France,CB,West Ham United
204120,32,188,85,Czech Republic,GK,Olympiacos CFP
203551,30,173,67,Italy,"RB,RWB",AC Milan
202695,28,188,81,England,CB,Burnley
201095,33,188,84,Argentina,GK,FC Porto
210008,26,192,80,France,"CM,CDM",Juventus
210406,27,180,75,Poland,"CM,CAM",Napoli
230225,25,181,82,Brazil,"CB,CDM",Clube Atl茅tico Mineiro
221992,25,175,70,Mexico,"RW,LW",Napoli
230258,21,175,70,Brazil,"CDM,CM,CAM",Sport Club Corinthians Paulista
230294,29,188,83,Brazil,"ST,CF",RB Bragantino
230347,21,178,69,Brazil,"LB,LM",Clube Atl茅tico Mineiro
228251,25,186,77,Italy,"CAM,CM,CDM",Roma
227950,26,182,79,Spain,CB,Athletic Club de Bilbao
227127,26,191,83,Spain,GK,Real Sociedad
226226,25,177,68,Argentina,"CM,CAM",Tottenham Hotspur
226166,23,187,84,France,"RWB,CB,RM",RB Leipzig
226110,26,183,73,C么te d'Ivoire,"RM,RW",Arsenal
225375,24,180,72,Austria,"CDM,CM,RB",RB Leipzig
224411,24,179,68,Portugal,"LM,ST,CF",Valencia CF
224081,25,178,72,England,"CDM,CM,CB",Leeds United
223952,28,192,85,Spain,GK,Getafe CF
221479,24,187,71,England,ST,Everton
210411,26,172,71,Portugal,"LM,RM,CM",FC Porto
221363,24,184,74,Netherlands,"CM,CAM,CDM",Manchester United
220407,32,190,80,Slovakia,GK,Newcastle United
220093,27,185,72,Netherlands,"RWB,RB,RM",Atalanta
217940,29,178,72,Togo,CB,Getafe CF
216475,33,180,70,Spain,"ST,LM",Levante Uni贸n Deportiva
216409,27,171,67,Italy,"RM,RW",Napoli
216201,27,186,80,Spain,"ST,RW",Athletic Club de Bilbao
215330,26,189,75,Argentina,"CF,ST,CAM",Inter
214979,27,191,93,Argentina,GK,Atalanta
212194,25,185,83,Germany,"CAM,CM,CF",Borussia Dortmund
211990,27,191,78,Greece,GK,SL Benfica
211300,25,184,76,France,"ST,LM",Manchester United
210463,28,174,74,Venezuela,"LM,RM,ST",Granada CF
200949,28,174,70,Brazil,"RM,CF",Tottenham Hotspur
230256,29,172,68,Brazil,"LWB,LB",RB Bragantino
200724,31,180,76,Spain,"CB,RB,LB",Real Madrid CF
234906,23,175,70,France,"CAM,LM,CM",Olympique Lyonnais
163705,36,185,82,France,GK,Olympique de Marseille
167664,33,186,89,Argentina,ST,Inter Miami CF
171791,37,191,84,Portugal,CB,LOSC Lille
172871,34,189,86,Belgium,CB,SL Benfica
176266,34,179,78,Brazil,CDM,Lazio
178086,34,190,86,Spain,GK,Sporting CP
181458,32,186,80,Croatia,"LM,LW,LWB",Inter
181872,34,180,75,Chile,CM,Inter
183574,33,180,76,Germany,"CF,CAM",1. FC Union Berlin
184200,32,192,83,Austria,ST,Bologna
187754,33,174,76,Ukraine,"CAM,RM",Shakhtar Donetsk
190674,30,180,74,France,"CDM,CM",LOSC Lille
192366,33,183,76,Argentina,CB,SL Benfica
234742,23,180,66,England,"LM,LW",Leicester City
200454,27,175,70,Spain,ST,Villarreal CF
234153,24,180,76,Spain,"CM,RM,LM",Valencia CF
233927,23,180,72,Brazil,"CAM,CM",Olympique Lyonnais
232411,23,179,72,France,"CAM,CM,CF",RB Leipzig
231969,28,181,79,Ukraine,"CF,CM",Atalanta
230430,29,184,79,Brazil,ST,Flamengo
193283,29,182,79,Denmark,"CDM,CM",Sevilla FC
193314,30,182,78,Spain,GK,Levante Uni贸n Deportiva
193983,29,181,83,Algeria,ST,OGC Nice
195365,30,178,66,Slovenia,"CM,CDM",RB Leipzig
195859,28,178,73,England,ST,Aston Villa
197965,31,177,72,Portugal,"CM,RM",SL Benfica
198164,31,171,67,Spain,CAM,Uni贸n Deportiva Las Palmas
198710,29,180,75,Colombia,"RW,CAM,CM",Everton
163489,34,189,82,Italy,GK,U.S. Sassuolo Calcio
156519,31,185,78,Mexico,CM,Atl茅tico de Madrid
153244,35,189,85,France,"ST,CF",Tigres U.A.N.L.
124375,35,188,77,Turkey,ST,LOSC Lille
45186,39,179,75,Spain,"RM,LM",Real Betis Balompi茅
200260,29,182,75,Netherlands,RW,Ajax
199987,32,185,83,Netherlands,GK,Valencia CF
199564,29,178,68,Spain,"RB,CM,RM",FC Barcelona
199304,29,184,78,Brazil,"RB,LB,CB",Juventus
139068,34,177,70,Portugal,"LW,LM",Orlando City Soccer Club
213661,25,187,81,Denmark,CB,Chelsea
209519,27,181,78,France,"ST,RM",Stade Rennais FC
209960,29,186,81,Spain,GK,Deportivo Alav茅s
210455,27,170,70,Spain,"LWB,RWB",Wolverhampton Wanderers
211117,25,188,80,England,"CAM,CM",Tottenham Hotspur
212151,26,193,78,Albania,GK,Lazio
212187,27,177,77,Germany,LB,PSV
212814,28,179,73,Portugal,CM,SL Benfica
215223,28,191,93,Argentina,GK,OGC Nice
214584,34,189,88,Argentina,GK,River Plate
215316,29,189,84,Argentina,GK,Villarreal CF
217870,27,183,83,Italy,RB,Napoli
219683,26,181,81,France,"CM,CDM",FC Bayern M眉nchen
219953,29,173,68,Spain,"RM,LM",RCD Espanyol de Barcelona
220182,26,184,80,Belgium,CB,Olympique Lyonnais
220971,26,172,64,Guinea,CM,Liverpool
221087,26,189,77,Spain,GK,Olympique de Marseille
221660,26,187,80,Sweden,CB,Manchester United
222331,25,187,88,Germany,"CB,RB,RWB",RB Leipzig
222716,25,174,72,Brazil,"LM,RM",SL Benfica
223724,28,175,73,Austria,RB,Borussia M枚nchengladbach
198141,30,184,73,Spain,"CB,CDM",Real Betis Balompi茅
201143,29,184,78,Algeria,CB,Villarreal CF
208808,29,174,72,Netherlands,"CAM,LW",Spartak Moskva
171877,33,183,73,Slovakia,"CM,CDM,CAM",Trabzonspor
231447,22,179,78,Netherlands,ST,Borussia Dortmund
1179,43,192,92,Italy,GK,Parma
140233,35,190,85,Mexico,GK,Club Am茅rica
148119,35,186,78,Russia,GK,PFC CSKA Moscow
162347,34,170,61,Portugal,CM,Wolverhampton Wanderers
169588,33,188,77,Northern Ireland,CB,Leicester City
171579,34,184,83,Spain,"ST,CAM",Athletic Club de Bilbao
172522,32,181,74,Denmark,"CM,RM,RB",Valencia CF
183855,33,191,86,Italy,CB,West Ham United
173426,33,193,87,Belgium,GK,Club Brugge KV
176676,33,174,75,Brazil,LB,Real Madrid CF
177388,34,175,77,France,"LW,CAM",Olympique de Marseille
177509,34,189,94,Morocco,CB,Fatih Karag眉mr眉k S.K.
177604,35,180,77,Spain,LB,Real Sociedad
178518,33,176,65,Belgium,"CAM,CM,CF",Royal Antwerp FC
182493,35,187,78,Uruguay,CB,Cagliari
232119,25,185,82,Turkey,CB,Leicester City
232293,22,185,78,Nigeria,ST,Napoli
233195,23,174,76,Austria,"CDM,CM",VfL Wolfsburg
233306,24,188,85,England,GK,Manchester United
246669,19,178,65,England,"RM,LM",Arsenal
244470,28,175,76,Czech Republic,"RB,RWB",West Ham United
244369,23,178,72,Ukraine,RM,Dynamo Kyiv
243576,21,176,71,Spain,"RWB,RM",Sporting CP
241095,23,178,79,Croatia,CAM,West Ham United
241084,24,180,73,Colombia,LM,FC Porto
240900,24,186,81,Spain,CB,Athletic Club de Bilbao
240709,23,176,75,Germany,"RM,RB,CM",VfL Wolfsburg
239207,24,186,84,Uruguay,ST,Valencia CF
238794,20,176,73,Brazil,LW,Real Madrid CF
237383,22,190,75,Italy,CB,Inter
237238,24,193,88,Scotland,"CDM,CM",Manchester United
236987,21,184,68,France,"CDM,CB",Olympique de Marseille
236583,29,196,81,Czech Republic,GK,SV Werder Bremen
236401,23,183,62,Morocco,RB,Ajax
182494,35,190,74,Uruguay,GK,Galatasaray SK
184941,32,168,62,Chile,"CF,ST",Inter
207877,28,170,69,Venezuela,ST,Atlanta United
204399,33,182,71,Israel,ST,PSV
201922,28,184,83,Austria,CB,Eintracht Frankfurt
202024,29,180,80,Switzerland,CM,Atalanta
202166,27,187,77,Germany,"CAM,LW,CM",Paris Saint-Germain
202325,29,172,71,Germany,"CDM,CM",Napoli
203890,29,181,76,Croatia,"RB,RM",Atl茅tico de Madrid
203895,29,170,63,Spain,"CAM,ST",Toronto FC
203980,28,183,70,Greece,"CAM,LW,RW",Olympiacos CFP
204970,28,179,70,France,"RW,RM",Tigres U.A.N.L.
185020,34,178,73,Spain,"RM,RW",Fiorentina
205600,27,182,75,France,CB,FC Barcelona
205686,29,172,69,France,"CAM,CM",Montpellier H茅rault SC
205693,27,190,82,C么te d'Ivoire,ST,Ajax
205705,31,192,84,Morocco,CB,Sporting CP
205849,30,194,83,Argentina,GK,CF Monterrey
207599,28,191,82,England,CB,Everton
207732,30,179,74,Spain,ST,Levante Uni贸n Deportiva
201400,28,174,71,Brazil,"CM,CAM",Paris Saint-Germain
223959,25,166,60,Uruguay,"CDM,CM",Fiorentina
201119,31,177,86,Brazil,LB,Shakhtar Donetsk
199254,29,184,73,Brazil,"CF,ST,CAM",Cagliari
186561,30,183,76,Wales,"CM,CAM,LM",Juventus
187598,30,185,75,Italy,CB,Atalanta
189117,30,187,85,Switzerland,GK,Borussia Dortmund
189271,30,176,74,France,"CM,CDM,RM",Villarreal CF
189690,34,190,80,Spain,GK,Crystal Palace
190972,30,173,71,Argentina,"RM,RW",Boca Juniors
193061,30,182,77,Argentina,"CM,LM,CF",Udinese Calcio
196432,35,178,77,Argentina,"CDM,CM",River Plate
197225,32,170,69,Uruguay,CAM,Seattle Sounders FC
197242,31,187,84,Poland,"CDM,CM",Free agent
198009,28,188,77,Italy,GK,Juventus
198031,29,181,78,Portugal,CM,FC Porto
198950,29,174,70,Spain,"RW,CAM",Sporting CP
198951,30,182,74,Congo DR,ST,Beijing Guoan FC
199042,32,171,68,Chile,"CDM,CM",Bayer 04 Leverkusen
223816,27,177,79,Uruguay,"ST,LW",Cruz Azul
216189,29,175,75,Spain,RB,Athletic Club de Bilbao
224179,28,187,86,Spain,ST,Real Betis Balompi茅
230201,25,177,75,Brazil,"RB,RM",Sport Club Corinthians Paulista
227290,29,194,94,Serbia,GK,Sevilla FC
227813,24,175,64,Ukraine,"LB,CDM",Manchester City
227928,27,177,69,Portugal,"RWB,RB",Wolverhampton Wanderers
229237,25,187,91,Switzerland,CB,Borussia Dortmund
229261,24,191,81,Switzerland,"CDM,CB",Borussia M枚nchengladbach
229582,25,190,77,Italy,"CB,CDM",Roma
229857,25,168,62,Italy,"CM,CDM",Inter
229927,24,184,72,Brazil,CM,Olympique de Marseille
224309,26,183,74,Spain,"CM,CDM",Sevilla FC
230271,21,171,63,Brazil,"CAM,LM,LW",Fluminense
230313,33,179,80,Brazil,CB,Internacional
230767,23,176,70,Portugal,"CM,RM",LOSC Lille
226754,23,175,70,Algeria,"CM,CDM",AC Milan
226491,24,178,70,Scotland,"LB,CB,LWB",Arsenal
225953,23,178,78,Netherlands,"LM,LW,RM",Tottenham Hotspur
