ID,Club,ClubNumber,ClubJoined
186942,Manchester City,8,2016
188350,Borussia Dortmund,11,2012
184344,Juventus,19,2018
188377,Manchester City,2,2017
188567,Arsenal,14,2018
193747,Atlético de Madrid,6,2011
164240,Chelsea,6,2020
206113,FC Bayern München,7,2017
198176,Inter,6,2018
235243,Juventus,4,2019
235212,Paris Saint-Germain,2,2021
231677,Manchester United,10,2014
231478,Inter,10,2018
230142,Real Sociedad,10,2014
226790,Leicester City,25,2017
223848,Lazio,21,2015
205498,Chelsea,5,2018
204963,Real Madrid CF,2,2013
200458,Everton,12,2018
197445,Real Madrid CF,4,2021
198706,Lazio,10,2016
199434,Ajax,10,2018
199451,AS Monaco,10,2019
237692,Manchester City,47,2016
200647,Atalanta,72,2017
202811,Aston Villa,1,2020
192629,RC Celta de Vigo,10,2015
203263,Manchester United,5,2019
193080,Manchester United,1,2011
152729,FC Barcelona,3,2008
186345,Atlético de Madrid,23,2019
184134,Sevilla FC,25,2019
183711,Liverpool,14,2011
181291,Paris Saint-Germain,18,2021
175943,Napoli,14,2013
204923,FC Bayern München,18,2021
146536,Sevilla FC,16,2017
41236,AC Milan,11,2020
235790,Chelsea,29,2020
204639,Atlético de Madrid,15,2015
232656,AC Milan,19,2019
216393,Leicester City,8,2019
206517,Manchester City,10,2021
216594,Real Betis Balompié,8,2019
222492,FC Bayern München,10,2020
224232,Inter,23,2020
224334,Sevilla FC,19,2020
216352,Inter,77,2016
228941,RB Leipzig,33,2021
230938,AC Milan,79,2019
205988,Manchester United,23,2014
207862,Borussia Mönchengladbach,28,2017
207863,Atlético de Madrid,18,2019
208418,Atlético de Madrid,21,2020
208574,Eintracht Frankfurt,10,2019
208670,Chelsea,22,2020
209889,Borussia Dortmund,13,2016
210243,Leicester City,21,2018
212188,Chelsea,11,2020
215698,AC Milan,16,2021
216460,Atlético de Madrid,2,2013
197655,Sporting CP,4,2017
203574,Manchester City,5,2016
199914,Everton,6,2020
200610,AS Monaco,31,2020
201153,Juventus,9,2020
201399,Paris Saint-Germain,9,2020
202884,Roma,37,2019
203841,Burnley,1,2016
204838,Wolverhampton Wanderers,9,2019
199845,Lazio,33,2018
192774,Napoli,44,2019
205452,Chelsea,2,2017
183907,Olympique Lyonnais,27,2021
135507,Manchester City,25,2013
169416,Los Angeles FC,10,2018
177413,Borussia Dortmund,28,2018
178750,Villarreal CF,1,2014
179645,AC Milan,24,2020
180930,Inter,9,2021
184087,Free agent,,2021
192883,Roma,77,2020
184432,Chelsea,28,2012
189575,Athletic Club de Bilbao,10,2009
190286,Real Betis Balompié,10,2018
190941,Bayer 04 Leverkusen,1,2018
191043,Juventus,12,2015
192563,Arsenal,1,2018
204935,Everton,1,2017
241486,Sevilla FC,23,2019
205632,Sevilla FC,5,2019
225850,Paris Saint-Germain,3,2015
197061,Liverpool,32,2016
207410,Chelsea,8,2019
242444,Atlético de Madrid,7,2019
239053,Real Madrid CF,15,2016
235805,Juventus,22,2016
234642,Chelsea,16,2020
233064,Chelsea,19,2016
231443,FC Barcelona,7,2017
230666,Manchester City,9,2016
230658,Juventus,5,2020
230481,Grêmio,7,2021
229880,Manchester United,29,2019
228618,Real Madrid CF,23,2019
193082,Juventus,11,2015
225193,Real Sociedad,8,2018
215333,Atalanta,91,2020
223697,Atalanta,8,2017
213565,Atlético de Madrid,11,2018
213648,Tottenham Hotspur,5,2020
214997,Atlético de Madrid,10,2014
209989,Arsenal,5,2020
216354,TSG Hoffenheim,27,2015
220651,RB Leipzig,3,2021
220814,FC Bayern München,21,2019
220834,Real Madrid CF,11,2015
223689,VfL Wolfsburg,9,2018
211688,Valencia CF,14,2012
234396,FC Bayern München,19,2019
230869,Athletic Club de Bilbao,1,2015
231943,Everton,7,2018
232488,Tottenham Hotspur,4,2021
233096,Inter,2,2021
233419,Leeds United,10,2020
233731,Real Sociedad,19,2019
241461,Manchester City,21,2020
234943,Borussia Mönchengladbach,32,2017
235410,Sevilla FC,15,2020
235569,Tottenham Hotspur,28,2019
236792,West Ham United,28,2020
240130,Real Madrid CF,3,2019
230168,RB Bragantino,1,2021
241464,Villarreal CF,4,2016
241671,Dinamo Zagreb,40,2015
244260,RB Leipzig,25,2020
230375,Grêmio,2,2021
227796,Chelsea,10,2019
229984,Chelsea,21,2020
220697,Leicester City,10,2018
212190,FC Bayern München,4,2017
212462,Manchester United,27,2020
212523,Al Nassr,94,2021
212616,Atlético de Madrid,5,2021
216547,SL Benfica,27,2016
219693,Sevilla FC,20,2019
220018,AC Milan,12,2020
120533,FC Porto,3,2019
222077,Juventus,27,2021
229906,Aston Villa,31,2021
222665,Arsenal,8,2021
224293,Wolverhampton Wanderers,8,2017
224458,Liverpool,20,2020
225100,Liverpool,12,2015
226271,Napoli,8,2018
229391,Sporting CP,6,2015
229558,FC Bayern München,2,2021
229668,Atlético de Madrid,22,2019
220440,FC Barcelona,15,2018
190460,Inter,24,2020
157481,Villarreal CF,3,2019
205070,Real Sociedad,7,2019
199110,Atalanta,9,2019
199482,Olympique Lyonnais,1,2011
199823,Levante Unión Deportiva,24,2016
201305,Valencia CF,5,2017
201519,Roma,17,2019
202651,Sevilla FC,7,2020
203486,Borussia Dortmund,10,2019
205069,Paris Saint-Germain,14,2018
208128,Inter,20,2021
197781,Real Madrid CF,22,2013
208333,Borussia Dortmund,23,2020
208421,Chelsea,17,2013
208461,Atalanta,15,2017
209981,Sevilla FC,13,2020
210035,SL Benfica,3,2016
210413,AC Milan,13,2015
210935,U.S. Sassuolo Calcio,25,2012
211256,Ajax,31,2018
198717,Crystal Palace,11,2015
194404,FC Barcelona,13,2019
164835,West Ham United,1,2018
188152,Shanghai Port FC,8,2017
168435,Genoa,57,2021
168651,Sevilla FC,10,2020
173731,Real Madrid CF,18,2013
178005,Roma,1,2021
178562,Al Shabab,10,2020
180206,Beşiktaş JK,15,2020
183512,Athletic Club de Bilbao,17,2018
187072,Borussia Mönchengladbach,13,2015
188943,Eintracht Frankfurt,1,2019
193698,TSG Hoffenheim,1,2014
189242,FC Barcelona,14,2018
190815,Ajax,17,2018
192318,PSV,27,2020
193105,West Ham United,13,2010
193165,FC Porto,17,2015
193301,Arsenal,9,2017
193474,Paris Saint-Germain,27,2019
193525,PFC CSKA Moscow,2,2012
211515,Tottenham Hotspur,22,2018
234378,West Ham United,41,2016
200888,Paris Saint-Germain,15,2020
235374,Lazio,29,2019
209297,Manchester United,17,2018
208618,Real Madrid CF,17,2015
208596,Torino F.C.,9,2015
208448,RB Leipzig,10,2015
251854,FC Barcelona,16,2020
251573,Atlético de Madrid,12,2019
247394,Juventus,44,2019
247263,Bayer 04 Leverkusen,12,2020
245279,Tottenham Hotspur,3,2020
241852,Bayer 04 Leverkusen,19,2019
240950,Sporting CP,28,2020
239231,Brighton & Hove Albion,3,2021
238074,Chelsea,24,2017
208330,Real Sociedad,11,2017
210385,Real Betis Balompié,13,2021
207439,Paris Saint-Germain,8,2019
206511,VfL Wolfsburg,27,2011
205678,İstanbul Başakşehir FK,7,2011
205659,Cagliari,28,2014
205569,Southampton,8,2011
205175,Olympique de Marseille,9,2016
204638,RB Leipzig,4,2015
204525,Athletic Club de Bilbao,4,2018
204311,West Ham United,4,2021
204120,Olympiacos CFP,1,2021
203551,AC Milan,25,2010
202695,Burnley,5,2016
201095,FC Porto,1,2019
210008,Juventus,25,2019
210406,Napoli,20,2016
230225,Clube Atlético Mineiro,21,2021
221992,Napoli,11,2019
230258,Sport Club Corinthians Paulista,22,2021
230294,RB Bragantino,9,2021
230347,Clube Atlético Mineiro,7,2021
228251,Roma,7,2017
227950,Athletic Club de Bilbao,5,2014
227127,Real Sociedad,1,2019
226226,Tottenham Hotspur,18,2020
226166,RB Leipzig,22,2018
226110,Arsenal,19,2019
225375,RB Leipzig,27,2017
224411,Valencia CF,7,2018
224081,Leeds United,23,2014
223952,Getafe CF,13,2018
221479,Everton,9,2016
210411,FC Porto,25,2014
221363,Manchester United,34,2020
220407,Newcastle United,1,2018
220093,Atalanta,33,2017
217940,Getafe CF,2,2017
216475,Levante Unión Deportiva,11,2011
216409,Napoli,21,2021
216201,Athletic Club de Bilbao,9,2012
215330,Inter,19,2018
214979,Atalanta,1,2021
212194,Borussia Dortmund,19,2019
211990,SL Benfica,99,2018
211300,Manchester United,9,2015
210463,Granada CF,11,2019
200949,Tottenham Hotspur,27,2018
230256,RB Bragantino,3,2021
200724,Real Madrid CF,6,2010
234906,Olympique Lyonnais,8,2016
163705,Olympique de Marseille,30,2017
167664,Inter Miami CF,9,2020
171791,LOSC Lille,6,2018
172871,SL Benfica,5,2020
176266,Lazio,6,2017
178086,Sporting CP,1,2020
181458,Inter,14,2015
181872,Inter,22,2020
183574,1. FC Union Berlin,10,2020
184200,Bologna,9,2021
187754,Shakhtar Donetsk,11,2014
190674,LOSC Lille,21,2019
192366,SL Benfica,30,2020
234742,Leicester City,7,2016
200454,Villarreal CF,9,2020
234153,Valencia CF,10,2015
233927,Olympique Lyonnais,10,2020
232411,RB Leipzig,18,2019
231969,Atalanta,18,2019
230430,Flamengo,20,2021
193283,Sevilla FC,18,2021
193314,Levante Unión Deportiva,1,2018
193983,OGC Nice,7,2021
195365,RB Leipzig,44,2017
195859,Aston Villa,20,2021
197965,SL Benfica,21,2013
198164,Unión Deportiva Las Palmas,21,2021
198710,Everton,19,2020
163489,U.S. Sassuolo Calcio,47,2014
156519,Atlético de Madrid,16,2019
153244,Tigres U.A.N.L.,10,2015
124375,LOSC Lille,17,2020
45186,Real Betis Balompié,17,2015
200260,Ajax,23,2021
199987,Valencia CF,13,2019
199564,FC Barcelona,20,2013
199304,Juventus,6,2019
139068,Orlando City Soccer Club,17,2019
213661,Chelsea,4,2013
209519,Stade Rennais FC,24,2021
209960,Deportivo Alavés,1,2015
210455,Wolverhampton Wanderers,19,2019
211117,Tottenham Hotspur,20,2015
212151,Lazio,1,2012
212187,PSV,31,2020
212814,SL Benfica,20,2021
215223,OGC Nice,40,2016
214584,River Plate,1,2018
215316,Villarreal CF,13,2020
217870,Napoli,22,2019
219683,FC Bayern München,24,2017
219953,RCD Espanyol de Barcelona,23,2020
220182,Olympique Lyonnais,5,2018
220971,Liverpool,8,2018
221087,Olympique de Marseille,16,2019
221660,Manchester United,2,2017
222331,RB Leipzig,16,2014
222716,SL Benfica,7,2020
223724,Borussia Mönchengladbach,18,2019
198141,Real Betis Balompié,5,2018
201143,Villarreal CF,22,2021
208808,Spartak Moskva,24,2021
171877,Trabzonspor,17,2021
231447,Borussia Dortmund,21,2021
1179,Parma,1,2021
140233,Club América,13,2019
148119,PFC CSKA Moscow,35,2002
162347,Wolverhampton Wanderers,28,2018
169588,Leicester City,6,2018
171579,Athletic Club de Bilbao,22,2015
172522,Valencia CF,18,2018
183855,West Ham United,21,2015
173426,Club Brugge KV,22,2019
176676,Real Madrid CF,12,2007
177388,Olympique de Marseille,10,2017
177509,Fatih Karagümrük S.K.,5,2021
177604,Real Sociedad,20,2019
178518,Royal Antwerp FC,4,2021
182493,Cagliari,2,2020
232119,Leicester City,4,2018
232293,Napoli,9,2020
233195,VfL Wolfsburg,24,2019
233306,Manchester United,26,2015
246669,Arsenal,7,2018
244470,West Ham United,5,2020
244369,Dynamo Kyiv,15,2015
243576,Sporting CP,24,2020
241095,West Ham United,11,2021
241084,FC Porto,7,2019
240900,Athletic Club de Bilbao,3,2016
240709,VfL Wolfsburg,20,2020
239207,Valencia CF,9,2019
238794,Real Madrid CF,20,2018
237383,Inter,95,2017
237238,Manchester United,39,2013
236987,Olympique de Marseille,4,2017
236583,SV Werder Bremen,1,2017
236401,Ajax,12,2016
182494,Galatasaray SK,1,2011
184941,Inter,7,2020
207877,Atlanta United,7,2017
204399,PSV,7,2020
201922,Eintracht Frankfurt,13,2019
202024,Atalanta,11,2016
202166,Paris Saint-Germain,23,2017
202325,Napoli,4,2020
203890,Atlético de Madrid,24,2016
203895,Toronto FC,10,2019
203980,Olympiacos CFP,10,2014
204970,Tigres U.A.N.L.,26,2021
185020,Fiorentina,7,2020
205600,FC Barcelona,23,2016
205686,Montpellier Hérault SC,11,2019
205693,Ajax,22,2021
205705,Sporting CP,3,2020
205849,CF Monterrey,1,2021
207599,Everton,5,2017
207732,Levante Unión Deportiva,9,2011
201400,Paris Saint-Germain,12,2020
223959,Fiorentina,18,2018
201119,Shakhtar Donetsk,31,2013
199254,Cagliari,10,2014
186561,Juventus,8,2019
187598,Atalanta,2,2015
189117,Borussia Dortmund,38,2015
189271,Villarreal CF,19,2020
189690,Crystal Palace,13,2018
190972,Boca Juniors,11,2019
193061,Udinese Calcio,37,2020
196432,River Plate,24,2017
197225,Seattle Sounders FC,10,2016
197242,Free agent,,2021
198009,Juventus,36,2018
198031,FC Porto,27,2015
198950,Sporting CP,17,2019
198951,Beijing Guoan FC,17,2018
199042,Bayer 04 Leverkusen,20,2015
223816,Cruz Azul,21,2019
216189,Athletic Club de Bilbao,21,2018
224179,Real Betis Balompié,9,2019
230201,Sport Club Corinthians Paulista,2,2021
227290,Sevilla FC,1,2021
227813,Manchester City,11,2016
227928,Wolverhampton Wanderers,22,2020
229237,Borussia Dortmund,16,2018
229261,Borussia Mönchengladbach,8,2017
229582,Roma,23,2020
229857,Inter,12,2020
229927,Olympique de Marseille,8,2021
224309,Sevilla FC,8,2019
230271,Fluminense,10,2021
230313,Internacional,16,2021
230767,LOSC Lille,18,2019
226754,AC Milan,4,2019
226491,Arsenal,3,2019
225953,Tottenham Hotspur,23,2020
225201,Athletic Club de Bilbao,7,2020
225085,LOSC Lille,7,2018
230204,Flamengo,1,2021
230498,Santos,9,2021
192123,Burnley,9,2017
191202,Manchester United,31,2017
191740,Paris Saint-Germain,21,2019
192064,Guangzhou FC,11,2020
192906,Gimnasia y Esgrima La Plata,8,2021
192598,Guangzhou FC,9,2019
192638,Chelsea,3,2016
192789,Villarreal CF,2,2008
190745,Udinese Calcio,1,2021
190813,Roma,92,2021
189615,West Ham United,3,2014
190717,West Ham United,9,2015
190584,Real Sociedad,4,2015
189805,FC Barcelona,17,2019
189682,Burnley,6,2012
193348,Olympique Lyonnais,29,2021
189560,Villarreal CF,10,2019
188042,River Plate,7,2019
188041,Tigres U.A.N.L.,5,2017
187052,Olympiacos CFP,6,2020
186682,Granada CF,19,2017
193198,Sevilla FC,6,2019
198230,Granada CF,6,2017
194209,Olympiacos CFP,11,2019
202048,Wolverhampton Wanderers,16,2015
204024,Borussia Mönchengladbach,6,2016
203483,Ajax,6,2020
203299,Al Hilal,19,2019
202935,Olympique de Marseille,3,2020
202857,Bayer 04 Leverkusen,38,2011
202750,Wolverhampton Wanderers,15,2018
202648,RCD Espanyol de Barcelona,10,2018
202477,Udinese Calcio,10,2021
202335,Tottenham Hotspur,15,2014
201455,Atlético de Madrid,4,2020
194333,FC Augsburg,1,2020
200726,Atlético de Madrid,1,2019
200315,Real Betis Balompié,11,2017
199503,Arsenal,34,2016
199354,Elche CF,12,2021
198946,Inter,33,2021
198784,Liverpool,15,2017
198329,Leeds United,19,2020
178509,AC Milan,9,2021
196978,Newcastle United,9,2020
184484,Everton,10,2017
170890,Inter Miami CF,8,2020
176919,Tigres U.A.N.L.,1,2014
226300,Trabzonspor,1,2014
223597,AS Monaco,26,2019
224031,Lazio,77,2017
224196,Borussia Mönchengladbach,25,2019
224490,LOSC Lille,2,2018
225116,Napoli,1,2018
225508,Manchester United,3,2016
225663,AS Monaco,17,2018
226162,Aston Villa,10,2021
226221,Real Sociedad,6,2014
226456,West Ham United,8,2019
223249,Racing Club,21,2018
226851,FC Bayern München,5,2019
228093,Borussia Mönchengladbach,10,2019
228520,CA Osasuna,9,2019
228687,OGC Nice,9,2019
230184,Fortaleza,27,2021
230216,Internacional,23,2021
230234,Fluminense,21,2021
230251,RB Bragantino,8,2021
230312,Internacional,44,2021
223578,Getafe CF,7,2018
222501,Leicester City,27,2020
176635,Fenerbahçe SK,10,2021
216150,Atalanta,77,2021
176550,Napoli,25,2019
173221,U.C. Sampdoria,87,2021
162240,Guangzhou City,8,2019
159145,Al Hilal,18,2018
158121,FC Girondins de Bordeaux,1,2017
156616,US Salernitana 1919,7,2021
213516,SC Braga,21,2017
204234,Elche CF,13,2019
216145,Torino F.C.,5,2018
216388,Newcastle United,10,2019
222028,SL Benfica,28,2020
216531,Sporting CP,21,2021
218339,Borussia Dortmund,8,2017
219789,Stade Rennais FC,27,2017
219809,AC Milan,99,2017
220253,Sevilla FC,11,2019
220523,Everton,13,2018
220673,RC Celta de Vigo,14,2020
220793,Tottenham Hotspur,6,2017
221491,Borussia Mönchengladbach,30,2015
214047,FC Porto,8,2019
204538,Seattle Sounders FC,9,2018
204259,Granada CF,2,2018
210513,Shenzhen FC,10,2021
251809,LOSC Lille,4,2020
252371,Borussia Dortmund,22,2020
255475,Ajax,11,2020
212442,Wolverhampton Wanderers,1,2021
212404,Juventus,20,2017
212382,KRC Genk,18,2019
212096,Sport-Club Freiburg,32,2019
211748,Bayer 04 Leverkusen,10,2019
211241,Villarreal CF,20,2019
211022,CA Osasuna,14,2018
210897,FC Porto,19,2018
210625,VfL Wolfsburg,19,2019
210324,Borussia Mönchengladbach,23,2016
247204,Tottenham Hotspur,12,2021
210315,RCD Espanyol de Barcelona,11,2020
209846,Sport-Club Freiburg,30,2012
208165,Atalanta,19,2016
208135,Everton,16,2020
208104,SC Braga,1,2014
207566,Real Betis Balompié,14,2018
207494,Manchester United,14,2011
206585,Chelsea,1,2018
206545,Villarreal CF,14,2011
206467,Borussia Mönchengladbach,14,2018
205923,Tottenham Hotspur,33,2014
138412,Liverpool,7,2015
247851,Olympique Lyonnais,39,2020
41,Vissel Kobe,8,2018
244067,VfL Wolfsburg,4,2020
236480,Brighton & Hove Albion,8,2018
243812,Real Madrid CF,21,2019
232432,Real Madrid CF,16,2019
232580,Arsenal,6,2020
232665,Getafe CF,18,2018
232730,Eintracht Frankfurt,15,2017
232756,AC Milan,23,2021
233738,Real Sociedad,5,2015
234035,Fiorentina,29,2018
234236,Bayer 04 Leverkusen,14,2020
234612,LOSC Lille,10,2018
235073,Borussia Dortmund,1,2021
235688,SL Benfica,4,2021
206413,Shakhtar Donetsk,6,2010
236506,Feyenoord,4,2019
239433,Getafe CF,20,2018
236572,AZ Alkmaar,5,2016
241788,FC Porto,9,2020
241637,AS Monaco,8,2020
240679,Atalanta,7,2021
240243,Atlético de Madrid,19,2021
242516,PSV,11,2016
239301,Ajax,21,2019
237239,Levante Unión Deportiva,10,2017
236632,Ajax,7,2017
237942,Villarreal CF,12,2020
236610,Juventus,18,2019
199576,Southampton,6,2015
24630,Lazio,25,2020
178007,Hellas Verona,4,2019
178088,Manchester United,8,2014
203605,TSG Hoffenheim,3,2015
199189,Chelsea,18,2018
199206,Beşiktaş JK,24,2018
198658,AZ Alkmaar,6,2017
198657,Adana Demirspor,22,2021
197837,Hertha BSC,20,2019
146439,Cádiz CF,18,2020
195096,FC Girondins de Bordeaux,13,2021
199915,Brighton & Hove Albion,5,2010
152908,Aston Villa,18,2021
156433,Club Universidad Nacional,1,2020
159261,U.C. Sampdoria,27,2016
163155,Watford,1,2018
199715,Getafe CF,8,2017
200155,Club Brugge KV,20,2015
200159,DSC Arminia Bielefeld,1,2017
201042,AS Monaco,29,2016
201417,Tottenham Hotspur,2,2020
201995,Lazio,7,2021
202493,RCD Espanyol de Barcelona,22,2021
194222,Deportivo Alavés,5,2014
195093,Real Betis Balompié,12,2016
189053,U.C. Sampdoria,10,2019
193469,Real Betis Balompié,6,2020
187936,Roma,70,2021
178213,Villarreal CF,6,2021
178224,LA Galaxy,14,2020
178415,Club Brugge KV,25,2014
180216,Everton,23,2009
183394,Watford,19,2021
184392,Inter,36,2021
185103,Inter,11,2020
186197,Racing Club de Lens,10,2021
199652,Torino F.C.,22,2019
186801,Crystal Palace,8,2018
187607,Free agent,,2015
188335,CA Osasuna,17,2021
193408,SL Benfica,14,2017
189125,Fiorentina,5,2020
189280,Burnley,18,2017
189505,Lazio,9,2021
189606,Bayer 04 Leverkusen,15,2016
189881,Roma,6,2020
190243,Borussia Dortmund,35,2018
191180,Elche CF,15,2021
192678,CA Osasuna,18,2021
192679,Granada CF,3,2021
193171,RCD Mallorca,18,2021
193361,Bologna,21,2019
202849,Leicester City,23,2021
243559,Levante Unión Deportiva,18,2020
203747,Real Betis Balompié,19,2014
203843,Getafe CF,22,2015
242187,TSG Hoffenheim,14,2018
241727,Stade de Reims,1,2019
240753,OGC Nice,11,2020
240699,River Plate,11,2017
239817,Leicester City,42,2021
239613,Atalanta,32,2017
239380,Club Brugge KV,10,2021
238616,Wolverhampton Wanderers,7,2019
238476,Borussia Dortmund,5,2017
238463,RB Leipzig,8,2019
238067,Roma,22,2018
237678,Liverpool,5,2021
236791,Hellas Verona,7,2021
236355,Lazio,3,2016
236045,LOSC Lille,28,2019
242201,Granada CF,5,2020
243238,Shakhtar Donetsk,10,2018
228413,U.C. Sampdoria,1,2019
246147,Manchester United,11,2018
244193,Sporting CP,10,2015
244253,Valencia CF,8,2018
244467,SK Slavia Praha,1,2018
244622,RCD Espanyol de Barcelona,9,2017
245630,AS Monaco,22,2020
246104,Ajax,8,2018
246430,Fiorentina,9,2018
256630,Bayer 04 Leverkusen,27,2020
246646,Olympique Lyonnais,25,2018
246844,Granada CF,15,2017
248243,Real Madrid CF,25,2021
248695,Leicester City,3,2020
252145,Paris Saint-Germain,25,2019
253163,FC Barcelona,4,2018
235353,Watford,23,2019
234835,Granada CF,22,2019
234060,RCD Espanyol de Barcelona,25,2017
206651,CA Osasuna,10,2011
230206,Flamengo,4,2021
230183,Internacional,15,2021
229909,Bayer 04 Leverkusen,40,2021
208295,Wolverhampton Wanderers,27,2016
208268,Roma,4,2019
243630,LOSC Lille,9,2020
206590,Villarreal CF,23,2019
230285,Flamengo,6,2021
206534,Leeds United,9,2018
205966,Eintracht Frankfurt,32,2018
205409,Club Atlético Independiente,1,2020
205192,RC Celta de Vigo,6,2019
204614,Napoli,6,2018
204082,VfL Wolfsburg,25,2017
230212,Internacional,5,2021
230360,RB Bragantino,21,2021
233486,Real Sociedad,24,2016
231352,Roma,9,2021
232487,VfB Stuttgart,3,2020
232229,Feyenoord,1,2015
232080,Leeds United,22,2021
231887,LOSC Lille,11,2019
231691,FC Nantes,1,2021
231410,AC Milan,10,2019
231340,Sevilla FC,2,2021
230385,São Paulo,10,2021
230460,Flamengo,14,2021
230442,Fortaleza,9,2021
167397,Rayo Vallecano,3,2021
230440,Palmeiras,10,2021
230426,Flamengo,21,2021
230406,Flamengo,17,2021
165229,FC Girondins de Bordeaux,6,2019
228881,AC Milan,2,2015
170368,Sevilla FC,17,2021
214097,Stade Rennais FC,14,2017
219733,RC Strasbourg Alsace,25,2018
219581,Spartak Moskva,2,2018
217546,SC Braga,5,2017
217036,Real Betis Balompié,15,2019
216643,Olympique Lyonnais,14,2018
216320,Racing Club de Lens,8,2020
216194,Athletic Club de Bilbao,14,2018
215590,Leicester City,17,2019
215353,Bayer 04 Leverkusen,13,2017
214766,Boca Juniors,24,2018
214092,Atalanta,59,2020
219985,Inter,8,2017
214040,Boca Juniors,18,2016
213956,Wolverhampton Wanderers,37,2018
213951,SL Benfica,77,2020
213577,Granada CF,10,2017
213331,Bayer 04 Leverkusen,4,2015
212419,Aston Villa,5,2019
212213,Sporting CP,47,2021
212207,SK Slavia Praha,7,2019
211591,Olympique Lyonnais,9,2018
210930,New England Revolution,22,2019
219792,Stade Rennais FC,8,2021
220883,Eintracht Frankfurt,19,2021
210736,Olympique Lyonnais,3,2018
225341,CA Osasuna,5,2013
227890,Sporting CP,11,2020
227678,Aston Villa,4,2019
227535,Juventus,30,2017
227174,Aston Villa,2,2020
227055,AS Monaco,7,2019
226789,Angers SCO,10,2017
226766,Wolverhampton Wanderers,10,2020
225719,Leicester City,14,2017
225711,Paris Saint-Germain,22,2019
225659,Real Betis Balompié,21,2020
225263,Olympique de Marseille,15,2018
221697,Aston Villa,11,2020
224371,West Ham United,20,2020
224254,Boca Juniors,31,2014
224069,Olympique Lyonnais,7,2020
224003,CA Osasuna,1,2017
223273,Atalanta,88,2018
223053,Club León,13,2019
222943,Lazio,22,2021
222558,Roma,2,2017
222493,1. FC Union Berlin,5,2019
221832,Real Valladolid CF,21,2021
210881,Aston Villa,7,2018
228336,TSG Hoffenheim,11,2017
177633,RCD Mallorca,22,2021
208334,1. FC Köln,14,2012
171897,Real Betis Balompié,18,2017
175379,CF Fuenlabrada,14,2021
175254,Genoa,9,2021
173909,Hertha BSC,27,2021
173306,Torino F.C.,15,2019
172962,Spartak Moskva,8,2021
174543,Real Betis Balompié,25,2020
208364,Club Brugge KV,77,2018
208920,Manchester City,6,2020
209973,BSC Young Boys,18,2017
210372,Beşiktaş JK,18,2021
210537,VfL Wolfsburg,11,2018
210665,RB Leipzig,23,2015
176772,FC Metz,16,2018
234730,Beşiktaş JK,2,2021
235844,Ajax,4,2019
235794,Crystal Palace,10,2020
235173,PSV,6,2020
234833,VfB Stuttgart,1,2021
234777,Manchester City,13,2019
234772,Cádiz CF,7,2015
234468,Minnesota United FC,10,2020
234678,Atalanta,3,2021
234568,SL Benfica,83,2015
227275,Boca Juniors,1,2017
234426,Galatasaray SK,45,2019
