ID,FullName,ValueEUR,WageEUR,ClubPosition,ClubNumber,NationalTeam,PreferredFoot,IntReputation,AttackingWorkRate,DefensiveWorkRate
192505,Romelu Lukaku,93500000,260000,ST,9,Belgium,Left,4,Medium,Medium
155862,Sergio Ramos García,24000000,115000,CB,4,Spain,Right,4,High,Medium
176580,Luis Suárez,44500000,135000,ST,9,Not in team,Right,5,High,Medium
182521,Toni Kroos,75000000,310000,CM,8,Not in team,Right,4,Medium,Medium
239085,Erling Haaland,137500000,110000,ST,9,Norway,Left,4,High,High
193041,Keylor Navas,15500000,130000,SUB,1,Not in team,Right,3,Medium,Medium
212198,Bruno Miguel Borges Fernandes,107500000,250000,CAM,18,Portugal,Right,3,High,High
202652,Raheem Sterling,107500000,290000,SUB,7,England,Right,4,High,Medium
199556,Marco Verratti,79500000,155000,CM,6,Italy,Right,3,Medium,High
177003,Luka Modrić,32000000,190000,CM,10,Not in team,Right,4,Medium,Medium
183898,Ángel Di María,49500000,160000,SUB,11,Argentina,Left,4,High,Medium
186153,Wojciech Szczęsny,42000000,105000,GK,1,Poland,Right,3,Medium,Medium
189596,Thomas Müller,66000000,140000,CAM,25,Not in team,Right,4,High,High
192387,Ciro Immobile,67500000,125000,ST,17,Italy,Right,4,High,Medium
195864,Paul Pogba,79500000,220000,CDM,6,France,Right,4,High,Medium
209658,Leon Goretzka,93000000,140000,CDM,8,Germany,Right,4,High,Medium
207865,Marcos Aoás Corrêa,90500000,135000,CB,5,Not in team,Right,3,Medium,High
211110,Paulo Dybala,93000000,160000,CAM,10,Argentina,Left,3,Medium,Medium
216267,Andrew Robertson,83500000,175000,LB,26,Scotland,Left,3,High,High
228702,Frenkie de Jong,119500000,210000,CM,21,Netherlands,Right,3,High,Medium
231281,Trent Alexander-Arnold,114000000,150000,RB,66,England,Right,3,High,Medium
239818,Rúben Santos Gato Alves Dias,102500000,170000,CB,3,Portugal,Right,3,Medium,High
153079,Sergio Agüero,51000000,260000,ST,19,Argentina,Right,4,High,Medium
167948,Hugo Lloris,13500000,125000,GK,1,France,Left,4,Medium,Medium
233049,Jadon Sancho,116500000,150000,LM,25,England,Right,3,High,Medium
201024,Kalidou Koulibaly,55500000,105000,CB,26,Not in team,Right,3,Medium,High
232363,Milan Škriniar,74000000,150000,CB,37,Not in team,Right,3,Medium,High
201535,Raphaël Varane,68500000,180000,CB,19,France,Right,3,Medium,High
198219,Lorenzo Insigne,65500000,125000,LW,24,Italy,Right,4,High,Medium
192984,Koen Casteels,52000000,88000,GK,1,Not in team,Left,3,Medium,Medium
189513,Daniel Parejo Muñoz,53500000,64000,CM,5,Not in team,Right,2,Medium,Medium
189511,Sergio Busquets Burgos,45000000,200000,CDM,5,Spain,Right,4,Medium,Medium
189509,Thiago Alcântara,65000000,180000,CM,6,Spain,Right,3,Medium,Medium
189332,Jordi Alba Ramos,47000000,200000,LB,18,Spain,Left,3,High,Medium
178603,Mats Hummels,44000000,95000,CB,15,Not in team,Right,4,High,High
138956,Giorgio Chiellini,12000000,88000,SUB,3,Italy,Left,4,Medium,High
162835,Samir Handanovič,7500000,78000,GK,1,Not in team,Right,3,Medium,Medium
231866,Rodrigo Hernández Cascante,81000000,175000,CDM,16,Spain,Right,3,Medium,High
226161,Marcos Llorente Moreno,88000000,95000,RM,14,Spain,Right,3,High,Medium
204485,Riyad Mahrez,65500000,220000,RW,26,Not in team,Left,3,Medium,Medium
208093,Gerard Moreno Balagueró,68000000,73000,ST,7,Spain,Left,2,High,Medium
208830,Jamie Vardy,33000000,180000,ST,9,Not in team,Right,3,High,Medium
210514,João Pedro Cavaco Cancelo,71500000,185000,LB,27,Portugal,Right,3,High,Medium
212218,Aymeric Laporte,77000000,185000,CB,14,Spain,Left,3,Medium,Medium
213345,Kingsley Coman,81000000,120000,SUB,11,France,Right,4,Medium,Medium
218667,Bernardo Mota Carvalho e Silva,74000000,200000,SUB,20,Portugal,Left,2,High,High
209499,Fábio Henrique Tavares,73500000,165000,CDM,3,Not in team,Right,3,Medium,High
201942,Roberto Firmino Barbosa de Oliveira,54000000,185000,CF,9,Not in team,Right,3,High,High
194765,Antoine Griezmann,53000000,220000,ST,8,France,Left,4,Medium,Medium
183277,Eden Hazard,52000000,240000,SUB,7,Belgium,Right,4,Medium,Medium
185122,Péter Gulácsi,28500000,87000,GK,1,Hungary,Right,3,Medium,Medium
179813,Edinson Cavani,26000000,190000,SUB,21,Not in team,Right,4,High,High
177683,Yann Sommer,26500000,40000,GK,1,Not in team,Right,3,Medium,Medium
168542,David Josué Jiménez Silva,22000000,44000,CAM,21,Not in team,Left,4,High,Medium
202556,Memphis Depay,63000000,220000,LW,9,Netherlands,Right,3,High,Low
163587,Kasper Schmeichel,9000000,115000,GK,1,Denmark,Right,2,Medium,Medium
143076,Alejandro Gómez,33500000,51000,CM,24,Argentina,Right,3,High,Medium
186942,İlkay Gündoğan,51500000,185000,CM,8,Germany,Right,3,High,Medium
188350,Marco Reus,43000000,95000,CAM,11,Not in team,Right,4,High,Medium
184344,Leonardo Bonucci,17500000,110000,CB,19,Italy,Right,3,Medium,High
188377,Kyle Walker,39000000,170000,RB,2,England,Right,3,High,High
188567,Pierre-Emerick Aubameyang,43500000,145000,ST,14,Not in team,Right,3,Medium,Low
193747,Jorge Resurrección,52500000,90000,CM,6,Spain,Right,3,Medium,Medium
164240,Thiago Emiliano da Silva,9500000,105000,CB,6,Not in team,Right,4,Medium,High
206113,Serge Gnabry,64500000,110000,RM,7,Germany,Right,4,High,Medium
198176,Stefan de Vrij,45000000,145000,CB,6,Netherlands,Right,3,Medium,High
235243,Matthijs de Ligt,75000000,81000,CB,4,Netherlands,Right,3,Medium,High
235212,Achraf Hakimi,69500000,100000,RB,2,Not in team,Right,2,High,Medium
231677,Marcus Rashford,77500000,150000,SUB,10,England,Right,3,High,Medium
231478,Lautaro Martínez,78000000,145000,ST,10,Argentina,Right,3,High,Medium
230142,Mikel Oyarzabal Ugarte,77500000,57000,LW,10,Spain,Left,2,High,Medium
226790,Wilfred Ndidi,66500000,120000,CDM,25,Not in team,Right,1,Medium,High
223848,Sergej Milinković-Savić,66000000,100000,CM,21,Not in team,Right,3,High,Medium
205498,Luiz Frello Filho Jorge,52500000,170000,CM,5,Italy,Right,2,Medium,Medium
204963,Daniel Carvajal Ramos,47500000,210000,RB,2,Not in team,Right,3,High,Medium
200458,Lucas Digne,40500000,110000,LB,12,France,Left,2,High,Medium
197445,David Alaba,35500000,195000,LB,4,Austria,Left,4,Medium,Medium
198706,Luis Alberto Romero Alconchel,42500000,95000,CM,10,Not in team,Right,2,Medium,Medium
199434,Dušan Tadić,33500000,32000,LW,10,Not in team,Left,3,Medium,Medium
199451,Wissam Ben Yedder,41500000,88000,ST,10,Not in team,Right,2,High,Low
237692,Phil Foden,94500000,125000,SUB,47,England,Left,3,High,Medium
200647,Josip Iličić,27000000,84000,SUB,72,Not in team,Left,3,Medium,Medium
202811,Emiliano Martínez,33500000,81000,GK,1,Argentina,Right,3,Medium,Medium
192629,Iago Aspas Juncal,27000000,46000,ST,10,Not in team,Left,2,High,High
203263,Harry Maguire,42500000,155000,CB,5,England,Right,3,High,High
193080,David De Gea Quintana,28000000,120000,GK,1,Spain,Right,4,Medium,Medium
152729,Gerard Piqué Bernabeu,13500000,175000,CB,3,Not in team,Right,4,High,Medium
186345,Kieran Trippier,36500000,74000,SUB,23,England,Right,2,Medium,Medium
184134,Fernando Reges,21000000,43000,CDM,25,Not in team,Right,2,Medium,Medium
183711,Jordan Henderson,29500000,140000,CM,14,England,Right,3,High,High
181291,Georginio Wijnaldum,40500000,115000,SUB,18,Netherlands,Right,3,High,High
175943,Dries Mertens,20500000,105000,RES,14,Belgium,Right,3,High,Low
204923,Marcel Sabitzer,48000000,110000,SUB,18,Austria,Right,3,High,High
146536,Jesús Navas González,13000000,30000,RB,16,Not in team,Right,2,High,Medium
41236,Zlatan Ibrahimović,14500000,51000,SUB,11,Sweden,Right,5,Medium,Low
235790,Kai Havertz,94500000,130000,LW,29,Germany,Left,3,Medium,Medium
204639,Stefan Savić,34500000,74000,CB,15,Not in team,Right,2,Medium,High
232656,Theo Hernández,62500000,51000,LB,19,Not in team,Left,3,High,Medium
216393,Youri Tielemans,57000000,125000,CDM,8,Belgium,Right,2,Medium,Medium
206517,Jack Grealish,50500000,180000,LW,10,England,Right,3,High,Medium
216594,Nabil Fekir,45000000,42000,CAM,8,Not in team,Left,3,High,Medium
222492,Leroy Sané,56000000,105000,LM,10,Germany,Left,3,Medium,Low
224232,Nicolò Barella,63500000,120000,CM,23,Italy,Right,3,High,High
224334,Marcos Acuña,37000000,45000,LB,19,Argentina,Left,2,High,High
216352,Marcelo Brozović,37000000,130000,CDM,77,Not in team,Right,3,Medium,Medium
228941,André Miguel Valente da Silva,51000000,110000,ST,33,Portugal,Right,3,Medium,Medium
230938,Franck Yannick Kessié,49500000,51000,CDM,79,Not in team,Right,3,High,High
205988,Luke Shaw,48500000,140000,LB,23,England,Left,2,High,Medium
207862,Matthias Ginter,42500000,45000,CB,28,Not in team,Right,3,Medium,Medium
207863,Felipe Augusto de Almeida Monteiro,27500000,74000,SUB,18,Not in team,Right,3,Low,High
208418,Yannick Carrasco,45000000,81000,LM,21,Belgium,Right,3,High,High
208574,Filip Kostić,42500000,52000,LM,10,Not in team,Left,3,High,High
208670,Hakim Ziyech,42500000,170000,SUB,22,Not in team,Left,3,High,High
209889,Raphaël Guerreiro,40500000,79000,LB,13,Portugal,Left,3,High,Low
210243,Ricardo Barbosa Pereira,40500000,130000,RB,21,Not in team,Right,3,High,High
212188,Timo Werner,56500000,155000,SUB,11,Germany,Right,3,High,Medium
215698,Mike Maignan,49500000,45000,GK,16,France,Right,2,Medium,Medium
216460,José María Giménez,52000000,74000,CB,2,Not in team,Right,2,Medium,High
197655,Sebastián Coates,30000000,21000,CB,4,Not in team,Right,3,Medium,Medium
203574,John Stones,41000000,140000,SUB,5,England,Right,2,High,Medium
199914,Allan Marques Loureiro,30500000,100000,CDM,6,Not in team,Right,2,Medium,High
200610,Kevin Volland,37000000,83000,RF,31,Not in team,Left,2,High,High
201153,Álvaro Borja Morata Martín,37000000,84000,ST,9,Spain,Right,3,Medium,Medium
201399,Mauro Icardi,37000000,120000,SUB,9,Not in team,Right,3,Medium,Medium
202884,Leonardo Spinazzola,33000000,72000,RES,37,Not in team,Right,3,High,Medium
203841,Nick Pope,25000000,45000,GK,1,Not in team,Right,1,Medium,Medium
204838,Raúl Jiménez,35500000,120000,ST,9,Mexico,Right,3,High,High
199845,Francesco Acerbi,17500000,75000,CB,33,Italy,Left,3,Medium,High
192774,Kostas Manolas,30000000,80000,CB,44,Not in team,Right,3,Low,Medium
205452,Antonio Rüdiger,34500000,130000,CB,2,Germany,Right,2,Medium,High
183907,Jérôme Boateng,23500000,81000,RES,27,Not in team,Right,4,Medium,Medium
135507,Fernando Luiz Rosa,7000000,100000,SUB,25,Not in team,Right,3,Medium,High
169416,Carlos Vela,29000000,17000,RW,10,Not in team,Left,3,High,Low
177413,Axel Witsel,24000000,72000,CDM,28,Belgium,Right,3,Medium,Medium
178750,Sergio Asenjo Andrés,18000000,37000,SUB,1,Not in team,Right,2,Medium,Medium
179645,Simon Kjær,23500000,54000,CB,24,Denmark,Right,3,Low,High
180930,Edin Džeko,15500000,105000,ST,9,Not in team,Right,3,Medium,Medium
184087,Toby Alderweireld,0,0,,,Belgium,Right,3,Medium,Medium
192883,Henrikh Mkhitaryan,29500000,82000,LM,77,Not in team,Right,3,Medium,Medium
184432,César Azpilicueta Tanco,25000000,125000,CB,28,Spain,Right,3,Medium,Medium
189575,Iker Muniain Goñi,36500000,44000,LM,10,Not in team,Right,2,High,Medium
190286,Sergio Canales Madrazo,34500000,38000,LM,10,Not in team,Left,2,High,Medium
190941,Lukáš Hrádecký,19000000,55000,GK,1,Finland,Right,3,Medium,Medium
191043,Alex Sandro Lobo Silva,31500000,95000,LB,12,Not in team,Left,3,High,Medium
192563,Bernd Leno,28000000,87000,GK,1,Germany,Right,3,Medium,Medium
204935,Jordan Pickford,33000000,83000,GK,1,England,Left,3,Medium,Medium
241486,Jules Koundé,53000000,33000,CB,23,France,Right,2,High,High
205632,Lucas Ocampos,39500000,46000,LW,5,Not in team,Right,2,High,High
225850,Presnel Kimpembe,45500000,90000,SUB,3,France,Left,3,Medium,High
197061,Joel Matip,30500000,130000,CB,32,Not in team,Right,2,Medium,Medium
207410,Mateo Kovačić,41500000,135000,SUB,8,Not in team,Right,3,High,High
242444,João Félix Sequeira,82000000,61000,SUB,7,Portugal,Right,2,Medium,Medium
239053,Federico Valverde,58000000,160000,SUB,15,Not in team,Right,1,High,High
235805,Federico Chiesa,80500000,74000,LM,22,Italy,Right,3,High,Medium
234642,Édouard Mendy,30000000,105000,GK,16,Not in team,Right,2,Medium,Medium
233064,Mason Mount,58500000,120000,RW,19,England,Right,3,High,High
231443,Ousmane Dembélé,55000000,165000,RW,7,Not in team,Left,3,High,Medium
230666,Gabriel Fernando de Jesus,52500000,150000,SUB,9,Not in team,Right,2,High,Medium
230658,Arthur Henrique Ramos Oliveira Melo,47000000,90000,RES,5,Not in team,Right,2,Medium,Medium
230481,Ronaldo Jailson Cabrais Petri,35500000,49000,CAM,7,Brazil,Right,1,Medium,Low
229880,Aaron Wan-Bissaka,48500000,115000,RB,29,Not in team,Right,2,Medium,High
228618,Ferland Mendy,43500000,170000,SUB,23,Not in team,Left,1,High,High
193082,Juan Cuadrado,19000000,95000,RM,11,Not in team,Right,3,High,Medium
225193,Mikel Merino Zazón,50000000,47000,CM,8,Not in team,Left,1,High,High
215333,Duván Zapata,35500000,77000,ST,91,Not in team,Right,2,High,Medium
223697,Robin Gosens,36000000,65000,LM,8,Germany,Left,3,High,Medium
213565,Thomas Lemar,48000000,71000,CM,11,France,Left,3,High,Medium
213648,Pierre-Emile Højbjerg,43500000,105000,CM,5,Denmark,Right,2,Medium,High
214997,Ángel Correa,48000000,80000,SUB,10,Argentina,Right,2,High,Medium
209989,Thomas Partey,36500000,115000,CDM,5,Not in team,Right,2,Medium,High
216354,Andrej Kramarić,35500000,59000,CAM,27,Not in team,Right,3,Medium,Medium
220651,José Ángel Esmoris Tasende,46000000,77000,LB,3,Not in team,Left,2,High,High
220814,Lucas Hernández,44500000,85000,SUB,21,France,Left,3,Low,High
220834,Marco Asensio Willemsen,48000000,190000,SUB,11,Not in team,Left,3,High,Medium
223689,Wout Weghorst,37000000,95000,ST,9,Netherlands,Right,2,High,High
211688,José Luís Gayà Peña,43500000,48000,LB,14,Spain,Left,3,High,Medium
234396,Alphonso Davies,57000000,59000,LB,19,Canada,Left,3,High,Low
230869,Unai Simón Mendibil,34500000,24000,GK,1,Spain,Right,3,Medium,Medium
231943,Richarlison de Andrade,46500000,100000,LM,7,Not in team,Right,3,High,Medium
232488,Cristian Romero,41500000,51000,SUB,4,Argentina,Right,3,Low,High
233096,Denzel Dumfries,35000000,100000,SUB,2,Netherlands,Right,3,High,Medium
233419,Raphael Dias Belloli,46000000,89000,RM,10,Not in team,Left,2,High,High
233731,Alexander Isak,45000000,37000,ST,19,Sweden,Right,2,High,Low
241461,Ferran Torres García,68500000,120000,ST,21,Spain,Right,1,High,Medium
234943,Florian Neuhaus,46000000,36000,CDM,32,Germany,Right,2,Medium,Medium
235410,Youssef En-Nesyri,44000000,37000,ST,15,Not in team,Left,2,High,High
235569,Tanguy Ndombele,46000000,95000,SUB,28,Not in team,Right,1,Medium,Medium
236792,Tomáš Souček,36000000,81000,CDM,28,Czech Republic,Right,1,High,High
240130,Éder Gabriel Militão,56500000,130000,CB,3,Not in team,Right,2,Medium,Medium
230168,Raphael William Anjos Rochedo,10000000,20000,GK,1,Brazil,Right,1,Medium,Medium
241464,Pau Francisco Torres,56500000,35000,SUB,4,Spain,Left,2,Medium,High
241671,Dominik Livaković,35000000,1000,GK,40,Not in team,Right,2,Medium,Medium
244260,Daniel Olmo Carvajal,46000000,78000,CAM,25,Spain,Right,3,Medium,High
230375,Josué Durval Chiamulera Vaz,25500000,41000,CB,2,Brazil,Right,1,Medium,Medium
227796,Christian Pulisic,49000000,120000,SUB,10,United States,Right,3,Medium,Medium
229984,Ben Chilwell,40500000,100000,SUB,21,Not in team,Left,2,High,High
220697,James Maddison,41500000,100000,CAM,10,Not in team,Right,1,High,Medium
212190,Niklas Süle,40500000,78000,CB,4,Germany,Right,3,Medium,Medium
212462,Alex Nicolao Telles,27500000,130000,SUB,27,Not in team,Left,3,High,Medium
212523,Anderson Souza Conceição,35500000,61000,CAM,94,Not in team,Left,2,High,Low
212616,Rodrigo Javier De Paul,35000000,68000,SUB,5,Argentina,Right,1,High,Medium
216547,Rafael A. Ferreira Silva,30500000,22000,RW,27,Portugal,Right,2,High,Medium
219693,Diego Carlos Santos Silva,30500000,37000,CB,20,Not in team,Right,2,Medium,High
220018,Ante Rebić,32500000,54000,LM,12,Not in team,Right,1,High,Medium
120533,Képler Laveran Lima Ferreira,5500000,14000,CB,3,Portugal,Right,4,Medium,High
222077,Manuel Locatelli,42000000,74000,CDM,27,Italy,Right,2,Medium,High
229906,Leon Bailey,43500000,75000,SUB,31,Not in team,Left,3,High,Medium
222665,Martin Ødegaard,49000000,89000,CAM,8,Norway,Left,3,High,Medium
224293,Rúben Diogo da Silva Neves,46000000,89000,CM,8,Portugal,Right,2,Low,High
224458,Diogo José Teixeira da Silva,46000000,120000,SUB,20,Portugal,Right,2,High,High
225100,Joe Gomez,43500000,100000,SUB,12,Not in team,Right,2,Medium,Medium
226271,Fabián Ruiz Peña,42000000,77000,CDM,8,Spain,Left,2,Medium,Medium
229391,João Maria Palhinha Gonçalves,41000000,18000,CM,6,Portugal,Right,1,Medium,High
229558,Dayot Upamecano,64000000,70000,CB,2,Not in team,Right,2,High,Medium
229668,Mario Hermoso Canseco,35500000,62000,CB,22,Not in team,Left,1,Medium,High
220440,Clément Lenglet,37500000,145000,SUB,15,France,Left,2,Medium,High
190460,Christian Eriksen,29500000,120000,RES,24,Denmark,Right,3,Medium,Low
157481,Raúl Albiol Tortajada,8000000,30000,CB,3,Not in team,Right,3,Low,High
205070,Cristian Portugues Manzanera,30000000,51000,SUB,7,Not in team,Right,1,High,High
199110,Luis Muriel,30000000,70000,RES,9,Not in team,Right,2,High,Medium
199482,Anthony Lopes,23000000,60000,GK,1,Portugal,Left,2,Medium,Medium
199823,José Gómez Campaña,30500000,43000,CM,24,Not in team,Right,1,Medium,Medium
201305,Gabriel Armando de Abreu,25000000,44000,CB,5,Not in team,Right,2,Low,High
201519,Jordan Veretout,29500000,66000,CDM,17,France,Right,2,Medium,Medium
202651,Jesús Joaquín Fernández Sáez,32500000,42000,RW,7,Not in team,Left,2,High,Low
203486,Thorgan Hazard,30500000,75000,SUB,10,Belgium,Right,2,High,High
205069,Juan Bernat Velasco,27500000,90000,LB,14,Not in team,Left,2,High,Medium
208128,Hakan Çalhanoğlu,35000000,115000,CM,20,Not in team,Right,3,Medium,Medium
197781,Francisco Román Alarcón Suárez,30000000,175000,SUB,22,Not in team,Right,3,Medium,Low
208333,Emre Can,35000000,72000,SUB,23,Not in team,Right,3,Medium,High
208421,Saúl Ñíguez Esclápez,39500000,68000,SUB,17,Not in team,Left,3,Medium,Medium
208461,Marten de Roon,25500000,59000,CM,15,Netherlands,Right,3,Medium,High
209981,Yassine Bounou,20500000,29000,GK,13,Not in team,Left,1,Medium,Medium
210035,Alejandro Grimaldo García,37000000,18000,LWB,3,Not in team,Left,3,High,Medium
210413,Alessio Romagnoli,31500000,49000,SUB,13,Not in team,Left,2,Medium,Medium
210935,Domenico Berardi,33500000,51000,RM,25,Italy,Left,2,Medium,Medium
211256,Nicolás Tagliafico,27500000,24000,SUB,31,Argentina,Left,3,High,High
198717,Wilfried Zaha,31000000,85000,LW,11,Not in team,Right,2,High,Medium
194404,Norberto Murara Neto,16000000,115000,SUB,13,Not in team,Right,2,Medium,Medium
164835,Łukasz Fabiański,3400000,43000,GK,1,Not in team,Right,2,Medium,Medium
188152,Oscar dos Santos Emboaba,30000000,38000,CAM,8,Not in team,Right,3,High,Medium
168435,Salvatore Sirigu,5000000,20000,GK,57,Italy,Right,3,Medium,Medium
168651,Ivan Rakitić,18500000,39000,SUB,10,Not in team,Right,3,Medium,Medium
173731,Gareth Bale,25000000,170000,SUB,18,Wales,Left,4,Medium,Medium
178005,Rui Pedro dos Santos Patrício,10000000,51000,GK,1,Portugal,Left,3,Medium,Medium
178562,Éver Banega,15000000,46000,CAM,10,Not in team,Right,3,High,Medium
180206,Miralem Pjanić,25000000,155000,CM,15,Not in team,Right,3,Medium,Medium
183512,Yuri Berchiche Izeta,22000000,35000,SUB,17,Not in team,Left,2,High,Medium
187072,Lars Stindl,24000000,41000,CAM,13,Not in team,Right,3,Medium,Medium
188943,Kevin Trapp,20500000,31000,GK,1,Germany,Right,3,Medium,Medium
193698,Oliver Baumann,16000000,37000,GK,1,Not in team,Right,2,Medium,Medium
189242,Philippe Coutinho Correia,30000000,165000,SUB,14,Not in team,Right,4,High,Medium
190815,Daley Blind,21000000,23000,LB,17,Netherlands,Left,3,High,Medium
192318,Mario Götze,30000000,29000,CAM,27,Not in team,Right,4,Medium,Medium
193105,Alphonse Areola,26000000,75000,SUB,13,Not in team,Right,2,Medium,Medium
193165,Jesús Corona,30500000,22000,SUB,17,Mexico,Right,3,High,Medium
193301,Alexandre Lacazette,30000000,110000,SUB,9,Not in team,Right,3,High,High
193474,Idrissa Gueye,21500000,88000,CM,27,Not in team,Right,2,Medium,High
193525,Mário Figueira Fernandes,26500000,57000,RB,2,Not in team,Right,2,High,Medium
211515,Pierluigi Gollini,35000000,48000,SUB,22,Not in team,Right,2,Medium,Medium
234378,Declan Rice,43000000,69000,CDM,41,England,Right,1,Medium,High
200888,Danilo Luís Hélio Pereira,22000000,85000,SUB,15,Portugal,Right,3,Medium,High
235374,Manuel Lazzari,25000000,64000,RB,29,Not in team,Right,2,High,High
209297,Frederico de Paula Santos,22500000,120000,CDM,17,Not in team,Left,3,High,High
208618,Lucas Vázquez Iglesias,25000000,170000,SUB,17,Not in team,Right,2,High,Medium
208596,Andrea Belotti,30000000,61000,ST,9,Not in team,Right,3,High,High
208448,Emil Forsberg,25500000,87000,SUB,10,Sweden,Right,3,Medium,Medium
251854,Pedro González López,54000000,51000,CM,16,Spain,Right,2,High,High
251573,Renan Augusto Lodi dos Santos,36500000,49000,SUB,12,Not in team,Left,1,High,Medium
247394,Dejan Kulusevski,58000000,72000,SUB,44,Sweden,Left,2,High,Medium
247263,Edmond Tapsoba,48500000,49000,RES,12,Not in team,Right,2,Medium,High
245279,Sergio Reguilón Rodríguez,32500000,79000,LB,3,Not in team,Left,1,High,High
241852,Moussa Diaby,52500000,52000,LM,19,France,Left,2,High,Low
240950,Pedro António Pereira Gonçalves,51500000,19000,RW,28,Not in team,Right,1,High,Medium
239231,Marc Cucurella Saseta,41500000,63000,SUB,3,Not in team,Left,1,High,Medium
238074,Reece James,37000000,76000,RWB,24,Not in team,Right,2,High,Medium
208330,Adnan Januzaj,28000000,45000,RW,11,Not in team,Left,1,Medium,Low
210385,Rui Tiago Dantas da Silva,25500000,24000,GK,13,Portugal,Right,1,Medium,Medium
207439,Leandro Paredes,28000000,81000,SUB,8,Argentina,Right,2,Medium,Medium
206511,Maximilian Arnold,26500000,66000,CDM,27,Not in team,Left,2,High,Medium
205678,Edin Višća,21500000,50000,RM,7,Not in team,Right,2,High,Medium
205659,Alessio Cragno,23500000,32000,GK,28,Not in team,Right,1,Medium,Medium
205569,James Ward-Prowse,33500000,69000,CM,8,Not in team,Right,2,Medium,High
205175,Arkadiusz Milik,30000000,81000,ST,9,Not in team,Left,3,Medium,Medium
204638,Willi Orban,24500000,79000,CB,4,Hungary,Right,2,Medium,Medium
204525,Iñigo Martínez Berridi,21000000,33000,CB,4,Not in team,Left,2,Medium,Medium
204311,Kurt Zouma,30000000,75000,SUB,4,France,Right,2,Medium,Medium
204120,Tomáš Vaclík,13000000,2000,GK,1,Czech Republic,Right,1,Medium,Medium
203551,Alessandro Florenzi,22000000,58000,SUB,25,Not in team,Right,3,High,Medium
202695,James Tarkowski,24500000,46000,CB,5,Not in team,Right,1,Low,High
201095,Agustín Marchesín,8500000,14000,GK,1,Not in team,Right,1,Medium,Medium
210008,Adrien Rabiot,30000000,87000,CDM,25,France,Left,2,Medium,Medium
210406,Piotr Zieliński,29500000,74000,CM,20,Poland,Right,3,Medium,Medium
230225,Juan Everton Mestres de Mesquita,25000000,41000,CB,21,Brazil,Right,1,High,Medium
221992,Hirving Lozano,31000000,77000,SUB,11,Mexico,Right,3,High,Low
230258,Rosberto J. Dourado Santos,27000000,26000,CDM,22,Brazil,Right,1,High,Medium
230294,Lourival Adnan Beretta Barbosa,25500000,28000,ST,9,Brazil,Right,1,High,Low
230347,Welington Kauê Dano Nascimento,27500000,31000,LB,7,Brazil,Left,1,Medium,Medium
228251,Lorenzo Pellegrini,38000000,61000,CAM,7,Not in team,Right,2,Medium,Medium
227950,Yeray Álvarez López,28000000,33000,CB,5,Not in team,Right,2,Medium,Medium
227127,Alejandro Remiro Gargallo,26000000,31000,GK,1,Not in team,Right,1,Medium,Medium
226226,Giovani Lo Celso,35500000,95000,SUB,18,Argentina,Left,1,High,High
226166,Nordi Mukiele,34500000,65000,RB,22,Not in team,Right,2,Medium,High
226110,Nicolas Pépé,30500000,95000,RM,19,Not in team,Left,2,High,Medium
225375,Konrad Laimer,33500000,65000,CDM,27,Austria,Right,2,Medium,High
224411,Gonçalo Manuel Ganchinho Guedes,39000000,39000,ST,7,Not in team,Right,2,High,Low
224081,Kalvin Phillips,32500000,82000,CDM,23,England,Right,2,Medium,High
