ID,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
189332,79,82,80,80,80,82,84,86,84,86,85,83,85,85,79,85,22
178603,73,68,70,70,70,68,75,74,81,74,81,86,81,83,86,83,20
138956,60,55,55,55,55,55,58,61,65,61,78,80,78,81,86,81,15
162835,33,29,31,31,31,29,36,34,37,34,33,36,33,32,32,32,86
231866,78,74,76,76,76,74,81,79,85,79,81,86,81,81,84,81,21
226161,85,83,84,84,84,83,87,87,87,87,85,86,85,84,82,84,22
204485,81,85,84,84,84,85,86,86,81,86,67,64,67,61,51,61,21
208093,86,83,84,84,84,83,85,85,80,85,68,66,68,66,60,66,22
208830,86,81,83,83,83,81,83,83,77,83,71,68,71,70,66,70,25
210514,81,82,81,81,81,82,85,86,86,86,87,84,87,86,81,86,22
212218,69,65,66,66,66,65,71,71,77,71,80,85,80,82,88,82,21
213345,83,85,84,84,84,85,87,87,78,87,63,58,63,59,48,59,16
218667,79,85,84,84,84,85,86,86,84,86,76,73,76,71,62,71,20
209499,77,75,75,75,75,75,79,80,84,80,85,87,85,85,87,85,21
201942,84,83,83,83,83,83,85,85,85,85,75,75,75,72,70,72,20
194765,85,85,85,85,85,85,85,85,85,85,74,72,74,72,66,72,24
183277,82,84,83,83,83,84,85,85,81,85,66,64,66,61,51,61,20
185122,34,29,31,31,31,29,34,34,35,34,33,36,33,33,36,33,85
179813,85,78,81,81,81,78,81,79,76,79,68,67,68,66,66,66,22
177683,35,32,34,34,34,32,39,37,40,37,33,36,33,32,32,32,85
168542,78,82,82,82,82,82,85,85,85,85,70,71,70,65,59,65,21
202556,85,84,84,84,84,84,86,86,80,86,64,62,64,59,52,59,22
163587,35,33,35,35,35,33,40,37,41,37,33,38,33,32,31,32,85
143076,79,84,83,83,83,84,85,85,82,85,69,65,69,64,52,64,20
186942,81,82,82,82,82,82,85,85,85,85,81,83,81,78,76,78,22
188350,82,84,83,83,83,84,85,85,82,85,71,69,71,67,59,67,23
184344,69,64,66,66,66,64,72,69,77,69,77,85,77,79,85,79,14
188377,77,76,76,76,76,76,78,81,80,81,85,83,85,85,84,85,22
188567,85,82,83,83,83,82,84,84,77,84,67,61,67,63,54,63,20
193747,80,80,81,81,81,80,85,85,85,85,85,85,85,83,80,83,23
164240,68,65,67,67,67,65,72,70,78,70,79,85,79,80,85,80,21
206113,83,84,84,84,84,84,86,86,81,86,69,67,69,65,57,65,21
198176,62,61,62,62,62,61,68,67,74,67,80,84,80,82,85,82,22
235243,71,64,65,65,65,64,67,68,70,68,78,81,78,81,87,81,22
235212,80,83,81,81,81,83,82,85,81,85,85,81,85,84,79,84,19
231677,86,84,84,84,84,84,86,86,80,86,70,67,70,66,60,66,21
231478,87,81,84,84,84,81,85,83,80,83,68,69,68,66,65,66,22
230142,81,84,83,83,83,84,85,85,79,85,66,63,66,62,53,62,20
226790,72,69,71,71,71,69,74,73,79,73,81,85,81,82,86,82,22
223848,84,79,81,81,81,79,84,83,87,83,81,85,81,81,84,81,21
205498,72,76,76,76,76,76,82,80,85,80,80,84,80,78,75,78,21
204963,74,76,74,74,74,76,79,81,81,81,85,84,85,85,83,85,23
200458,76,78,77,77,77,78,79,81,81,81,84,82,84,84,81,84,19
197445,78,78,78,78,78,78,82,82,84,82,84,84,84,84,84,84,21
198706,76,79,80,80,80,79,84,82,84,82,71,73,71,67,61,67,18
199434,83,83,83,83,83,83,84,84,83,84,69,68,69,64,58,64,23
199451,84,84,84,84,84,84,84,84,79,84,65,63,65,61,55,61,19
237692,80,83,83,83,83,83,87,86,84,86,75,73,75,71,62,71,22
200647,84,84,84,84,84,84,84,84,82,84,66,66,66,61,54,61,21
202811,39,35,37,37,37,35,43,41,45,41,36,40,36,36,35,36,85
192629,84,84,84,84,84,84,84,84,78,84,63,60,63,59,51,59,23
203263,70,64,67,67,67,64,72,71,79,71,77,85,77,79,86,79,24
193080,37,36,37,37,37,36,43,41,44,41,39,42,39,38,37,38,84
152729,73,67,70,70,70,67,74,72,78,72,78,84,78,80,84,80,22
186345,74,76,75,75,75,76,78,80,81,80,83,82,83,83,80,83,21
184134,71,70,71,71,71,70,75,74,80,74,80,84,80,81,84,81,16
183711,79,78,78,78,78,78,82,83,84,83,83,84,83,82,82,82,22
181291,83,81,82,82,82,81,84,84,84,84,84,84,84,83,82,83,22
175943,80,84,83,83,83,84,84,84,80,84,66,62,66,61,49,61,19
204923,83,81,82,82,82,81,85,84,85,84,78,79,78,76,74,76,24
146536,77,81,80,80,80,81,83,84,83,84,84,81,84,84,77,84,20
41236,84,80,82,82,82,80,84,81,78,81,58,61,58,55,56,55,23
235790,84,82,82,82,82,82,86,85,81,85,68,66,68,65,58,65,20
204639,56,53,54,54,54,53,59,58,66,58,72,80,72,76,84,76,23
232656,81,81,80,80,80,81,81,84,81,84,85,81,85,85,81,85,20
216393,79,79,80,80,80,79,84,82,86,82,79,81,79,77,74,77,20
206517,78,83,82,82,82,83,85,85,83,85,71,70,71,67,56,67,21
216594,83,84,83,83,83,84,84,84,81,84,67,66,67,62,56,62,23
222492,85,84,83,83,83,84,85,85,77,85,66,62,66,63,55,63,21
224232,78,81,81,81,81,81,86,85,87,85,84,85,84,83,79,83,22
224334,79,82,81,81,81,82,84,84,84,84,84,84,84,84,81,84,22
216352,77,76,76,76,76,76,81,80,84,80,83,84,83,82,81,82,19
228941,85,80,83,83,83,80,84,81,79,81,65,67,65,63,62,63,22
230938,79,77,78,78,78,77,81,81,83,81,84,86,84,84,84,84,21
205988,73,76,75,75,75,76,78,80,80,80,83,82,83,83,83,83,19
207862,71,66,67,67,67,66,71,72,77,72,80,84,80,82,85,82,21
207863,60,56,56,56,56,56,61,61,67,61,75,80,75,77,84,77,20
208418,82,83,82,82,82,83,84,84,79,84,70,66,70,66,57,66,21
208574,81,83,81,81,81,83,84,84,82,84,82,78,82,80,74,80,24
208670,79,83,82,82,82,83,84,84,84,84,73,73,73,69,60,69,21
209889,79,83,82,82,82,83,84,84,84,84,84,83,84,83,74,83,21
210243,78,79,78,78,78,79,82,83,82,83,84,84,84,84,82,84,23
212188,86,82,83,83,83,82,83,83,75,83,64,60,64,61,53,61,22
215698,40,38,41,41,41,38,45,43,46,43,38,42,38,36,36,36,85
216460,60,55,56,56,56,55,58,60,64,60,74,78,74,77,86,77,20
197655,67,58,62,62,62,58,66,65,72,65,74,82,74,77,83,77,24
203574,68,68,68,68,68,68,72,73,77,73,80,83,80,81,85,81,20
199914,76,78,78,78,78,78,81,81,83,81,83,83,83,82,80,82,20
200610,83,81,82,82,82,81,83,83,80,83,67,67,67,63,60,63,19
201153,83,81,82,82,82,81,83,82,74,82,61,58,61,57,53,57,16
201399,83,75,80,80,80,75,80,76,72,76,56,57,56,54,53,54,20
202884,77,79,77,77,77,79,80,83,79,83,83,80,83,83,79,83,24
203841,33,28,31,31,31,28,33,32,34,32,30,33,30,30,31,30,83
204838,83,80,81,81,81,80,83,82,80,82,68,69,68,65,63,65,21
199845,63,56,60,60,60,56,65,64,74,64,76,83,76,79,83,79,22
192774,55,51,50,50,50,51,54,57,60,57,74,77,74,78,83,78,21
205452,63,61,61,61,61,61,64,67,70,67,78,81,78,80,84,80,22
183907,67,65,65,65,65,65,71,71,76,71,79,83,79,81,83,81,19
135507,77,73,74,74,74,73,78,76,81,76,80,83,80,80,83,80,22
169416,83,83,83,83,83,83,83,83,77,83,62,60,62,57,50,57,22
177413,79,75,77,77,77,75,81,79,83,79,81,83,81,81,83,81,19
178750,33,31,31,31,31,31,34,35,35,35,34,34,34,33,32,33,83
179645,66,58,60,60,60,58,63,64,69,64,76,81,76,78,83,78,21
180930,83,77,81,81,81,77,82,80,78,80,62,66,62,59,59,59,23
184087,68,63,65,65,65,63,69,69,76,69,80,83,80,81,83,81,24
192883,83,83,83,83,83,83,83,83,82,83,75,73,75,73,66,73,19
184432,69,70,69,69,69,70,74,75,79,75,83,83,83,83,83,83,20
189575,77,83,82,82,82,83,83,83,81,83,71,69,71,67,58,67,19
190286,80,83,82,82,82,83,83,83,83,83,79,79,79,76,70,76,23
190941,30,26,29,29,29,26,33,31,34,31,29,31,29,28,28,28,83
191043,76,76,75,75,75,76,78,80,79,80,83,81,83,83,81,83,19
192563,35,32,35,35,35,32,41,39,43,39,37,41,37,36,36,36,84
204935,39,36,39,39,39,36,46,42,48,42,37,45,37,36,37,36,85
241486,65,66,66,66,66,66,70,70,74,70,79,82,79,81,84,81,22
205632,83,83,83,83,83,83,83,83,82,83,77,76,77,75,73,75,20
225850,66,64,64,64,64,64,69,71,75,71,81,84,81,83,86,83,21
197061,64,62,64,64,64,62,68,67,74,67,76,82,76,78,83,78,21
207410,75,80,79,79,79,80,84,83,84,83,80,82,80,77,73,77,18
242444,82,82,83,83,83,82,84,83,78,83,65,63,65,62,55,62,23
239053,78,79,79,79,79,79,83,82,84,82,82,84,82,81,80,81,20
235805,82,83,82,82,82,83,85,85,78,85,70,67,70,67,60,67,19
234642,30,26,29,29,29,26,33,31,36,31,28,33,28,27,27,27,84
233064,80,82,81,81,81,82,86,85,84,85,74,74,74,71,63,71,22
231443,79,83,81,81,81,83,84,85,77,85,66,61,66,62,50,62,20
230666,85,82,83,83,83,82,84,83,76,83,64,62,64,60,56,60,21
230658,74,79,78,78,78,79,83,82,85,82,80,81,80,78,74,78,21
230481,81,83,82,82,82,83,83,83,80,83,68,64,68,63,53,63,23
229880,69,73,71,71,71,73,74,76,74,76,84,80,84,83,80,83,18
228618,77,79,77,77,77,79,80,82,81,82,84,82,84,83,81,83,20
193082,81,83,81,81,81,83,83,83,81,83,83,80,83,83,79,83,18
225193,82,80,81,81,81,80,84,83,85,83,83,85,83,83,83,83,22
215333,83,76,80,80,80,76,78,76,69,76,56,56,56,54,55,54,18
223697,83,80,79,79,79,80,80,83,81,83,83,82,83,83,82,83,24
213565,80,83,82,82,82,83,86,85,83,85,77,74,77,74,66,74,22
213648,74,72,74,74,74,72,77,76,81,76,79,84,79,79,81,79,20
214997,85,85,85,85,85,85,86,85,81,85,71,69,71,68,62,68,22
209989,77,78,78,78,78,78,82,81,83,81,82,83,82,81,83,81,20
216354,83,82,83,83,83,82,83,83,76,83,61,59,61,57,51,57,22
220651,78,81,79,79,79,81,82,84,82,84,83,81,83,82,77,82,21
220814,71,69,68,68,68,69,71,74,74,74,83,82,83,84,86,84,21
220834,81,82,81,81,81,82,85,84,80,84,69,66,69,65,55,65,21
223689,83,72,77,77,77,72,75,72,72,72,61,65,61,60,66,60,22
211688,74,78,76,76,76,78,80,82,81,82,85,83,85,84,79,84,22
234396,78,79,78,78,78,79,80,82,77,82,83,79,83,83,79,83,21
230869,34,27,29,29,29,27,33,33,36,33,32,35,32,32,33,32,84
231943,85,81,81,81,81,81,83,83,78,83,71,69,71,70,67,70,21
232488,63,57,58,58,58,57,61,62,64,62,76,77,76,79,85,79,20
233096,76,72,71,71,71,72,73,76,75,76,81,79,81,82,83,82,22
233419,78,82,81,81,81,82,82,83,78,83,71,68,71,68,60,68,19
233731,84,79,81,81,81,79,81,79,72,79,58,54,58,54,49,54,18
241461,82,82,82,82,82,82,84,83,77,83,63,60,63,59,51,59,22
234943,74,77,77,77,77,77,82,80,84,80,75,78,75,73,69,73,21
235410,84,75,78,78,78,75,76,75,69,75,57,56,57,55,54,55,21
235569,77,80,80,80,80,80,84,82,83,82,77,79,77,75,73,75,18
236792,77,73,74,74,74,73,77,77,80,77,80,83,80,81,83,81,19
240130,69,69,68,68,68,69,70,74,74,74,82,81,82,83,84,83,22
230168,31,25,29,29,29,25,29,28,29,28,28,30,28,28,32,28,82
241464,62,63,62,62,62,63,68,69,74,69,79,82,79,80,84,80,21
241671,35,33,35,35,35,33,40,38,42,38,34,40,34,34,35,34,83
244260,77,80,80,80,80,80,85,84,83,84,71,71,71,67,58,67,24
230375,62,59,59,59,59,59,62,63,66,63,76,79,76,79,82,79,24
227796,78,81,80,80,80,81,82,83,75,83,67,60,67,63,52,63,23
229984,71,74,72,72,72,74,75,79,78,79,82,80,82,82,79,82,19
220697,76,81,80,80,80,81,84,83,82,83,71,71,71,67,59,67,22
212190,59,51,54,54,54,51,59,57,67,57,72,79,72,76,84,76,22
212462,78,78,78,78,78,78,81,82,82,82,82,82,82,82,79,82,22
212523,83,82,82,82,82,82,83,83,82,83,70,70,70,68,63,68,21
212616,79,80,80,80,80,80,83,82,83,82,79,81,79,78,75,78,21
216547,77,82,81,81,81,82,82,82,77,82,72,65,72,68,56,68,20
219693,66,62,65,65,65,62,68,67,72,67,75,80,75,77,83,77,19
220018,82,81,82,82,82,81,82,82,77,82,68,66,68,65,62,65,24
120533,65,60,60,60,60,60,64,65,69,65,76,80,76,79,82,79,21
222077,76,75,76,76,76,75,80,79,84,79,80,83,80,79,79,79,22
229906,81,82,81,81,81,82,83,84,75,84,62,57,62,58,49,58,23
222665,77,81,79,79,79,81,84,84,82,84,75,73,75,71,63,71,22
224293,73,75,75,75,75,75,80,78,83,78,78,82,78,76,75,76,21
224458,84,82,82,82,82,82,83,83,79,83,71,71,71,70,67,70,20
225100,60,64,62,62,62,64,66,70,70,70,80,80,80,81,83,81,19
226271,79,79,80,80,80,79,83,81,84,81,79,81,79,78,75,78,22
229391,73,69,71,71,71,69,73,73,78,73,79,83,79,80,85,80,19
229558,64,63,63,63,63,63,66,67,70,67,76,78,76,78,84,78,19
229668,68,68,67,67,67,68,71,73,75,73,80,82,80,81,84,81,19
220440,64,63,64,64,64,63,68,68,73,68,77,80,77,79,83,79,19
190460,77,79,79,79,79,79,82,82,82,82,69,71,69,65,59,65,20
157481,57,53,56,56,56,53,62,59,70,59,71,81,71,74,82,74,19
205070,82,81,81,81,81,81,82,82,79,82,75,72,75,73,69,73,23
199110,82,82,82,82,82,82,82,82,74,82,60,54,60,55,47,55,20
199482,35,32,33,33,33,32,35,35,34,35,33,34,33,33,33,33,83
199823,77,79,79,79,79,79,82,82,82,82,78,79,78,76,73,76,19
201305,65,64,63,63,63,64,68,69,73,69,79,82,79,81,82,81,21
201519,76,76,77,77,77,76,80,79,81,79,81,83,81,80,79,80,19
202651,76,82,80,80,80,82,82,82,77,82,62,58,62,56,45,56,21
203486,77,81,80,80,80,81,82,82,80,82,73,70,73,69,61,69,18
205069,74,79,77,77,77,79,80,82,80,82,82,80,82,81,76,81,21
208128,78,81,80,80,80,81,83,83,83,83,74,74,74,71,63,71,20
197781,77,80,79,79,79,80,82,82,82,82,72,73,72,69,65,69,20
208333,83,78,79,79,79,78,83,82,83,82,83,83,83,83,83,83,22
208421,82,78,80,80,80,78,83,82,84,82,81,83,81,81,82,81,21
208461,74,71,72,72,72,71,75,75,79,75,82,82,82,82,82,82,23
209981,31,28,30,30,30,28,35,33,37,33,30,34,30,29,30,29,82
210035,76,79,78,78,78,79,83,84,84,84,84,81,84,83,77,83,21
210413,60,57,59,59,59,57,62,62,68,62,75,80,75,77,83,77,20
210935,80,82,81,81,81,82,82,82,78,82,63,63,63,59,53,59,15
211256,73,72,71,71,71,72,75,78,78,78,82,82,82,82,82,82,24
198717,79,82,81,81,81,82,82,82,75,82,64,60,64,59,51,59,21
194404,34,31,32,32,32,31,35,34,36,34,31,34,31,31,31,31,82
164835,31,28,30,30,30,28,32,31,31,31,27,29,27,27,29,27,82
188152,80,81,80,80,80,81,82,82,82,82,75,74,75,72,66,72,22
168435,31,27,29,29,29,27,33,31,32,31,29,31,29,29,30,29,82
168651,78,77,78,78,78,77,82,81,82,81,80,82,80,78,76,78,21
173731,82,82,82,82,82,82,82,82,80,82,71,70,71,70,67,70,21
178005,35,32,34,34,34,32,39,37,38,37,33,36,33,32,33,32,82
178562,76,78,78,78,78,78,82,82,82,82,80,82,80,79,77,79,20
180206,73,76,75,75,75,76,81,80,82,80,81,82,81,79,76,79,19
183512,75,75,74,74,74,75,76,78,78,78,82,81,82,82,82,82,20
187072,82,80,81,81,81,80,82,82,82,82,73,75,73,71,69,71,21
188943,33,27,30,30,30,27,32,31,31,31,31,31,31,31,31,31,82
193698,32,28,30,30,30,28,31,31,32,31,31,32,31,30,32,30,82
189242,78,81,81,81,81,81,82,82,82,82,71,70,71,67,60,67,20
190815,73,72,73,73,73,72,79,77,82,77,81,82,81,81,82,81,22
192318,78,80,80,80,80,80,82,82,82,82,74,74,74,70,64,70,20
193105,36,33,34,34,34,33,38,37,38,37,34,36,34,33,33,33,83
193165,77,81,79,79,79,81,82,82,82,82,82,80,82,82,75,82,21
193301,82,79,81,81,81,79,82,81,77,81,64,65,64,62,60,62,18
193474,74,72,74,74,74,72,77,75,80,75,81,82,81,81,82,81,20
193525,74,76,75,75,75,76,78,79,79,79,82,80,82,82,80,82,22
211515,34,29,30,30,30,29,31,32,31,32,31,31,31,31,30,31,83
234378,67,67,68,68,68,67,73,72,78,72,78,83,78,78,81,78,18
200888,75,69,72,72,72,69,75,75,80,75,77,81,77,78,81,78,21
235374,71,79,76,76,76,79,79,81,79,81,81,77,81,79,70,79,19
209297,73,76,75,75,75,76,80,80,81,80,81,81,81,81,77,81,23
208618,77,80,79,79,79,80,81,81,81,81,80,77,80,78,71,78,20
208596,82,74,78,78,78,74,77,75,69,75,59,58,59,57,58,57,21
208448,76,80,79,79,79,80,81,81,80,81,64,64,64,59,50,59,22
251854,73,79,78,78,78,79,83,82,83,82,77,77,77,75,68,75,19
251573,76,78,77,77,77,78,79,81,79,81,82,80,82,81,78,81,21
247394,78,81,80,80,80,81,82,83,79,83,75,72,75,72,66,72,18
247263,66,62,64,64,64,62,68,67,73,67,75,81,75,77,83,77,19
245279,73,76,74,74,74,76,77,79,77,79,81,79,81,81,78,81,20
241852,73,81,78,78,78,81,81,82,75,82,68,62,68,64,51,64,19
240950,79,81,81,81,81,81,84,83,82,83,74,73,74,70,62,70,21
239231,75,78,77,77,77,78,80,82,81,82,81,80,81,80,75,80,20
238074,71,74,72,72,72,74,75,77,76,77,81,79,81,80,79,80,20
208330,76,81,79,79,79,81,81,81,76,81,62,58,62,56,44,56,20
210385,33,27,30,30,30,27,32,30,32,30,28,31,28,28,30,28,82
207439,75,76,76,76,76,76,80,79,83,79,80,82,80,79,79,79,20
206511,79,77,78,78,78,77,81,79,82,79,79,82,79,77,77,77,20
205678,77,81,79,79,79,81,81,81,77,81,70,65,70,66,56,66,21
205659,30,26,29,29,29,26,31,30,32,30,29,31,29,28,28,28,82
205569,73,76,75,75,75,76,79,79,82,79,77,78,77,75,70,75,22
205175,82,74,77,77,77,74,77,75,71,75,59,59,59,57,56,57,22
204638,55,51,52,52,52,51,55,55,61,55,69,75,69,72,82,72,20
204525,66,62,63,63,63,62,67,66,72,66,76,81,76,78,81,78,22
204311,64,58,60,60,60,58,62,62,68,62,72,77,72,75,83,75,22
204120,33,28,31,31,31,28,35,33,38,33,30,35,30,30,33,30,81
203551,78,78,78,78,78,78,81,81,81,81,81,80,81,81,76,81,20
202695,62,59,60,60,60,59,64,65,70,65,75,79,75,76,82,76,19
201095,34,34,35,35,35,34,39,37,38,37,32,34,32,31,31,31,81
210008,79,77,78,78,78,77,81,80,82,80,81,82,81,80,79,80,20
210406,78,82,81,81,81,82,82,82,82,82,80,79,80,78,71,78,20
230225,69,61,64,64,64,61,64,64,67,64,73,76,73,76,81,76,24
221992,80,81,80,80,80,81,82,82,75,82,67,62,67,63,54,63,22
230258,68,71,71,71,71,71,75,76,79,76,81,81,81,81,79,81,22
230294,81,74,78,78,78,74,75,73,66,73,55,53,55,53,53,53,24
230347,69,74,72,72,72,74,76,78,77,78,81,78,81,81,76,81,21
228251,79,79,79,79,79,79,82,82,83,82,79,80,79,78,75,78,20
227950,63,59,60,60,60,59,63,63,68,63,75,79,75,77,83,77,20
227127,32,28,29,29,29,28,32,31,32,31,31,33,31,30,31,30,82
226226,79,80,80,80,80,80,83,83,83,83,78,79,78,76,73,76,21
226166,67,68,67,67,67,68,70,73,73,73,81,80,81,81,83,81,20
226110,79,81,80,80,80,81,81,82,74,82,64,59,64,60,50,60,19
225375,75,77,76,76,76,77,79,80,80,80,83,82,83,82,80,82,21
224411,79,80,79,79,79,80,81,81,75,81,65,61,65,61,52,61,19
224081,72,72,72,72,72,72,76,76,79,76,79,82,79,78,80,78,20
223952,34,28,30,30,30,28,32,31,32,31,29,31,29,29,31,29,82
221479,83,76,78,78,78,76,76,77,69,77,61,58,61,59,57,59,20
210411,76,80,79,79,79,80,82,82,80,82,75,75,75,73,67,73,22
221363,81,77,79,79,79,77,82,80,83,80,78,80,78,77,76,77,21
220407,34,32,35,35,35,32,39,37,41,37,33,38,33,32,32,32,81
220093,78,77,76,76,76,77,78,81,79,81,81,80,81,81,80,81,22
217940,60,58,58,58,58,58,60,63,67,63,77,79,77,79,82,79,20
216475,81,81,81,81,81,81,81,81,78,81,71,68,71,68,61,68,22
216409,75,81,79,79,79,81,81,81,77,81,66,63,66,62,51,62,20
216201,82,80,80,80,80,80,80,82,73,82,63,59,63,60,55,60,23
215330,81,81,81,81,81,81,82,82,77,82,65,62,65,61,54,61,19
214979,33,29,31,31,31,29,32,32,32,32,29,30,29,29,29,29,82
212194,78,80,79,79,79,80,84,83,81,83,70,68,70,67,58,67,21
211990,31,28,30,30,30,28,33,31,32,31,30,32,30,30,31,30,82
211300,83,82,82,82,82,82,84,83,75,83,64,59,64,60,53,60,21
210463,79,81,80,80,80,81,81,81,75,81,64,61,64,59,53,59,19
200949,81,81,80,80,80,81,81,81,75,81,68,64,68,65,59,65,21
230256,74,76,74,74,74,76,76,79,76,79,81,77,81,80,75,80,22
200724,61,62,60,60,60,62,64,68,69,68,80,79,80,81,81,81,20
234906,77,80,80,80,80,80,83,82,82,82,75,76,75,73,70,73,19
163705,34,32,34,34,34,32,39,37,39,37,33,37,33,32,32,32,81
167664,81,76,79,79,79,76,80,77,72,77,54,55,54,51,49,51,19
171791,62,55,58,58,58,55,63,61,70,61,70,79,70,72,81,72,20
172871,71,67,68,68,68,67,71,72,74,72,80,81,80,81,81,81,20
176266,72,70,71,71,71,70,76,73,79,73,77,81,77,78,81,78,18
178086,33,27,29,29,29,27,32,31,33,31,30,34,30,31,34,31,81
181458,81,79,79,79,79,79,81,81,79,81,75,73,75,74,72,74,18
181872,81,77,78,78,78,77,81,80,81,80,81,81,81,81,81,81,15
183574,80,80,81,81,81,80,81,81,79,81,62,63,62,58,54,58,20
184200,81,79,80,80,80,79,81,81,78,81,67,67,67,64,62,64,23
187754,77,80,79,79,79,80,81,81,78,81,68,67,68,64,58,64,18
190674,73,72,72,72,72,72,76,76,79,76,80,81,80,80,81,80,20
192366,66,59,61,61,61,59,64,64,70,64,75,80,75,78,81,78,20
234742,78,81,80,80,80,81,82,82,76,82,68,64,68,65,55,65,18
200454,81,79,81,81,81,79,80,77,71,77,58,55,58,55,51,55,21
234153,78,80,80,80,80,80,83,82,83,82,80,80,80,78,73,78,21
233927,80,80,81,81,81,80,83,83,83,83,78,79,78,76,74,76,21
232411,78,81,80,80,80,81,83,83,82,83,78,77,78,77,71,77,18
231969,81,80,81,81,81,80,81,81,81,81,76,77,76,74,72,74,20
230430,81,77,79,79,79,77,78,77,69,77,53,50,53,50,45,50,19
193283,77,74,74,74,74,74,76,77,79,77,81,81,81,81,81,81,22
193314,32,32,32,32,32,32,36,36,35,36,34,32,34,33,28,33,81
193983,81,78,79,79,79,78,79,79,73,79,62,60,62,59,56,59,20
195365,70,78,77,77,77,78,81,81,81,81,77,77,77,73,65,73,21
